material_type,quantity,distance,vehicle_type,season,fire_risk,delay_risk,weather_risk,overall_risk,premium
battery,476.27,250.89,Electric Box Truck,winter,5.45,2.74,0.47,3.24,2646.12
plastic,2252.08,576.41,Compact Logistics Van,monsoon,0.0,8.66,6.45,4.29,3829.02
textile,2655.51,572.76,Heavy Duty Dump,spring,0.08,5.44,1.15,1.84,2794.43
paper,7309.07,129.33,Compact Logistics Van,spring,1.07,1.37,0.99,0.25,2384.85
textile,9422.14,116.72,Compact Logistics Van,winter,0.73,1.16,0.03,0.74,2971.22
plastic,3726.8,171.78,Heavy Duty Dump,summer,0.81,1.71,1.84,1.77,2473.87
battery,1061.0,430.4,Heavy Duty Dump,winter,4.94,5.72,1.29,3.62,3137.74
textile,3655.91,40.05,Heavy Duty Dump,spring,0.91,0.69,1.78,1.3,2091.92
textile,9138.27,448.79,Compact Logistics Van,winter,0.38,2.92,0.95,1.39,3608.03
battery,3495.01,355.67,Flatbed Carrier,summer,5.56,2.12,1.4,3.67,3509.38
textile,5136.69,490.56,Compact Logistics Van,spring,0.45,3.51,0.83,1.57,3020.91
textile,631.28,402.13,Heavy Duty Dump,winter,1.2,2.96,1.56,2.1,2341.36
metal,7643.89,213.49,Compact Logistics Van,monsoon,0.0,3.96,6.3,3.09,3822.34
plastic,7146.3,574.14,Compact Logistics Van,winter,0.2,3.28,0.28,1.22,3323.73
metal,729.59,324.28,Compact Logistics Van,monsoon,0.91,7.29,4.99,4.34,3273.66
paper,6944.1,46.43,Compact Logistics Van,winter,0.98,1.37,0.32,0.58,2365.98
textile,2276.29,161.04,Compact Logistics Van,monsoon,0.2,6.03,4.85,3.6,3024.94
metal,5272.47,200.72,Compact Logistics Van,spring,0.29,1.47,1.64,0.95,2417.54
battery,5650.47,387.08,Heavy Duty Dump,spring,5.38,3.96,0.83,3.66,3928.61
battery,5608.57,239.15,Flatbed Carrier,spring,5.0,2.05,1.42,2.72,3318.97
metal,1274.2,573.73,Flatbed Carrier,spring,0.0,4.67,1.62,1.81,2533.19
textile,7359.8,65.65,Compact Logistics Van,spring,0.72,1.86,0.88,1.33,2801.63
battery,2582.02,347.54,Electric Box Truck,summer,5.4,3.47,1.41,3.49,3251.96
plastic,1397.53,330.26,Flatbed Carrier,monsoon,0.46,4.51,5.33,3.28,2922.97
paper,3133.5,134.5,Heavy Duty Dump,monsoon,0.88,4.54,5.97,3.92,3291.5
battery,9193.4,355.41,Flatbed Carrier,winter,5.4,2.65,0.77,3.34,4382.38
textile,8988.91,477.91,Electric Box Truck,summer,0.18,2.36,1.05,1.11,3493.02
textile,5467.88,122.89,Electric Box Truck,spring,0.69,1.08,0.26,0.44,2127.47
battery,6693.48,450.52,Flatbed Carrier,spring,5.59,3.82,0.05,3.6,4164.0
paper,1917.65,511.15,Electric Box Truck,winter,0.11,4.55,1.22,1.86,2597.49
textile,5608.26,308.99,Flatbed Carrier,winter,0.31,1.18,1.34,1.0,2631.8
textile,8503.13,155.0,Compact Logistics Van,spring,1.04,2.42,1.7,1.29,3097.47
plastic,6993.46,164.43,Electric Box Truck,summer,0.11,1.51,1.69,1.3,2839.66
paper,6976.5,403.05,Electric Box Truck,spring,0.29,2.14,0.74,1.97,3425.76
plastic,1138.17,564.82,Compact Logistics Van,spring,0.71,3.38,1.06,1.47,2342.14
battery,6104.04,511.87,Flatbed Carrier,spring,4.78,4.58,0.79,3.38,4032.67
battery,6291.64,440.23,Heavy Duty Dump,summer,6.33,3.32,2.02,4.2,4351.13
metal,4990.07,517.43,Compact Logistics Van,monsoon,0.94,7.05,7.17,4.84,4496.03
plastic,3841.5,500.38,Electric Box Truck,summer,0.68,3.31,2.17,1.7,2858.03
plastic,7530.44,113.37,Heavy Duty Dump,winter,1.22,2.83,0.92,1.02,2751.29
textile,7145.55,70.65,Electric Box Truck,monsoon,0.43,4.84,6.97,3.54,3762.18
textile,5816.09,63.47,Heavy Duty Dump,spring,0.0,1.68,0.36,0.69,2231.54
battery,6379.07,392.61,Compact Logistics Van,summer,5.2,1.99,2.09,3.07,3800.62
plastic,5863.98,397.19,Flatbed Carrier,winter,0.56,3.84,1.63,0.9,2734.9
metal,7011.47,220.97,Heavy Duty Dump,summer,0.89,2.2,1.61,2.07,3260.32
plastic,4096.97,423.11,Flatbed Carrier,spring,0.18,3.94,0.75,1.42,2685.06
paper,801.89,317.87,Flatbed Carrier,spring,0.88,3.53,0.6,1.45,1977.35
plastic,8320.89,522.11,Flatbed Carrier,summer,0.96,4.34,1.82,2.02,3833.99
paper,9677.04,115.4,Electric Box Truck,winter,0.23,1.11,1.36,0.93,3099.53
plastic,5071.88,139.27,Electric Box Truck,spring,0.52,1.75,1.15,0.84,2256.53
paper,5918.27,230.82,Flatbed Carrier,monsoon,0.0,5.65,6.63,3.42,3681.34
paper,7552.27,221.72,Heavy Duty Dump,summer,0.7,1.82,3.1,1.88,3270.86
paper,3642.88,535.64,Compact Logistics Van,spring,1.26,3.53,1.09,1.76,2891.65
paper,4899.99,180.26,Electric Box Truck,winter,0.72,1.06,1.2,0.74,2231.61
plastic,9981.96,495.97,Compact Logistics Van,winter,0.0,3.09,0.64,1.65,3936.59
metal,3595.7,517.9,Electric Box Truck,winter,1.13,3.09,1.23,1.85,2899.62
paper,4762.1,520.35,Compact Logistics Van,summer,1.04,3.33,1.6,1.53,2970.85
paper,7288.1,562.73,Compact Logistics Van,monsoon,0.34,8.22,6.57,5.22,5134.54
textile,5157.24,390.37,Compact Logistics Van,winter,0.48,2.97,1.3,1.46,2853.14
battery,2810.67,433.85,Flatbed Carrier,winter,5.96,2.92,0.79,3.47,3388.3
textile,4078.55,335.73,Electric Box Truck,spring,0.04,2.57,1.95,1.52,2620.86
plastic,6349.39,116.21,Heavy Duty Dump,spring,0.47,1.65,1.26,0.31,2220.03
battery,4041.87,320.46,Heavy Duty Dump,winter,5.15,2.65,0.91,2.1,2858.94
plastic,9858.63,427.58,Compact Logistics Van,summer,0.51,2.89,2.01,1.82,3904.47
paper,2678.61,328.25,Compact Logistics Van,spring,0.0,2.31,0.38,1.14,2191.13
paper,5988.72,328.01,Flatbed Carrier,summer,1.39,1.96,1.78,1.45,2922.69
plastic,4805.9,108.42,Heavy Duty Dump,summer,0.96,2.94,1.17,1.89,2647.84
textile,4411.79,284.55,Electric Box Truck,spring,0.3,2.02,0.92,0.98,2376.93
paper,4168.93,312.54,Electric Box Truck,winter,0.34,2.55,1.25,1.48,2589.52
textile,3100.64,199.82,Flatbed Carrier,monsoon,1.11,5.63,5.52,3.34,3099.02
battery,704.46,187.6,Electric Box Truck,monsoon,4.67,5.08,6.21,6.08,3890.02
battery,4988.1,255.95,Heavy Duty Dump,winter,4.08,2.03,1.31,2.79,3262.05
textile,2930.11,163.45,Heavy Duty Dump,winter,0.0,1.79,1.41,0.81,1886.02
plastic,9023.33,239.23,Flatbed Carrier,winter,0.09,1.74,1.49,1.09,3201.57
metal,5190.44,78.35,Heavy Duty Dump,spring,0.69,0.41,0.81,1.41,2461.56
textile,3544.64,461.13,Heavy Duty Dump,winter,0.46,3.74,3.02,2.09,2930.3
plastic,4476.24,396.31,Flatbed Carrier,monsoon,0.38,6.2,6.74,4.37,4049.55
metal,8806.2,573.71,Flatbed Carrier,spring,0.51,4.85,0.05,1.58,3785.46
battery,7016.0,395.2,Electric Box Truck,winter,4.63,2.01,1.23,3.36,4047.09
textile,2586.13,269.87,Flatbed Carrier,winter,0.51,1.85,1.72,1.34,2192.4
textile,9443.25,69.25,Compact Logistics Van,spring,0.81,1.88,0.73,0.68,2890.31
textile,6940.95,462.54,Flatbed Carrier,spring,0.06,3.29,1.39,1.61,3330.59
textile,2336.98,172.25,Electric Box Truck,spring,0.16,1.69,0.79,0.42,1616.84
plastic,3914.5,45.78,Flatbed Carrier,summer,0.97,2.59,2.57,1.49,2230.07
metal,1887.3,105.67,Electric Box Truck,summer,0.64,1.61,2.89,1.43,1910.61
textile,9669.84,278.21,Compact Logistics Van,spring,0.62,2.84,1.35,0.94,3298.87
metal,1444.31,120.63,Electric Box Truck,summer,0.0,3.1,1.75,0.79,1561.87
battery,2072.84,258.12,Flatbed Carrier,summer,4.22,2.92,1.27,2.14,2446.13
plastic,9477.23,533.91,Flatbed Carrier,monsoon,0.03,6.02,5.78,3.71,4816.64
metal,4501.51,286.11,Flatbed Carrier,summer,0.78,2.8,1.96,2.01,2857.91
battery,9088.07,344.17,Flatbed Carrier,winter,4.75,2.78,1.62,2.42,3939.85
metal,5025.67,317.24,Compact Logistics Van,monsoon,0.98,4.95,7.04,4.25,3995.84
battery,1148.76,316.95,Electric Box Truck,winter,5.06,2.1,1.07,3.07,2770.03
textile,1782.93,236.66,Compact Logistics Van,winter,0.91,3.28,0.66,2.23,2407.09
plastic,7758.12,483.67,Compact Logistics Van,winter,0.42,5.13,1.44,1.83,3601.26
battery,4790.61,550.41,Compact Logistics Van,summer,4.66,3.02,1.92,3.66,3969.62
textile,9001.91,284.41,Flatbed Carrier,monsoon,0.48,5.39,5.95,3.92,4525.85
textile,989.06,389.64,Flatbed Carrier,spring,0.84,1.58,1.07,1.22,1995.61
textile,3399.2,254.55,Electric Box Truck,monsoon,0.28,6.02,6.15,4.11,3565.7
metal,1222.77,216.79,Heavy Duty Dump,monsoon,1.0,4.65,5.94,3.08,2668.28
metal,2656.28,561.99,Electric Box Truck,monsoon,0.99,6.63,6.28,4.42,3940.26
metal,3268.07,29.97,Heavy Duty Dump,winter,0.7,0.63,0.87,0.44,1624.02
battery,8996.07,369.99,Heavy Duty Dump,spring,5.39,4.07,1.49,3.79,4567.15
metal,9003.56,197.27,Compact Logistics Van,spring,0.71,2.3,1.42,1.7,3420.28
battery,1778.25,120.41,Flatbed Carrier,winter,4.15,1.25,0.78,1.92,2127.52
metal,3215.38,133.94,Electric Box Truck,monsoon,0.83,4.85,4.86,3.28,3014.72
metal,1437.82,229.26,Heavy Duty Dump,monsoon,0.27,5.32,4.98,3.37,2850.4
paper,6374.72,432.76,Heavy Duty Dump,spring,1.25,2.58,0.7,2.57,3625.35
battery,9646.37,378.32,Heavy Duty Dump,winter,4.85,2.19,0.34,2.32,4032.65
metal,4210.43,101.41,Heavy Duty Dump,monsoon,0.45,2.95,6.37,3.46,3237.67
metal,1804.42,558.69,Heavy Duty Dump,winter,0.64,3.95,1.58,1.74,2579.14
metal,8793.03,228.72,Compact Logistics Van,winter,0.89,2.04,0.36,1.4,3288.96
textile,4017.57,239.7,Heavy Duty Dump,spring,0.26,1.13,0.2,0.0,1810.8
plastic,6190.29,22.06,Compact Logistics Van,summer,0.0,0.0,1.98,0.84,2318.87
textile,3168.44,469.79,Compact Logistics Van,monsoon,0.11,4.22,6.38,2.85,3217.93
textile,2678.56,447.89,Compact Logistics Van,winter,0.0,4.25,1.31,1.82,2638.42
paper,5350.74,79.27,Flatbed Carrier,winter,0.0,1.01,1.5,0.87,2247.63
plastic,8006.96,170.48,Heavy Duty Dump,summer,1.28,2.04,0.82,1.63,3177.47
textile,1033.32,353.83,Flatbed Carrier,summer,1.27,3.5,1.69,2.58,2571.71
plastic,7674.14,511.01,Flatbed Carrier,winter,0.73,5.01,1.65,2.5,3919.43
paper,6692.38,203.34,Heavy Duty Dump,monsoon,0.68,5.51,6.72,3.72,3921.01
plastic,3116.59,598.3,Compact Logistics Van,winter,1.17,2.34,1.56,1.56,2780.62
metal,8587.83,344.96,Electric Box Truck,summer,1.32,2.66,1.82,2.27,3781.14
paper,2698.28,549.8,Flatbed Carrier,summer,0.07,4.69,2.59,2.75,3183.27
plastic,8499.85,175.96,Flatbed Carrier,summer,1.38,1.81,1.08,0.94,2963.63
battery,545.96,585.09,Heavy Duty Dump,monsoon,5.98,6.09,6.02,5.61,4122.94
battery,2505.64,436.14,Heavy Duty Dump,summer,4.43,3.65,2.24,3.53,3362.39
paper,7226.22,384.51,Compact Logistics Van,summer,0.36,2.22,2.42,1.74,3347.21
battery,3424.3,260.31,Electric Box Truck,spring,4.12,2.31,0.3,1.62,2457.38
battery,9161.86,528.28,Compact Logistics Van,spring,4.57,1.82,0.25,2.77,4331.07
paper,1584.05,269.67,Electric Box Truck,summer,0.31,2.55,2.14,1.69,2170.14
metal,4617.1,363.9,Electric Box Truck,spring,0.78,2.78,0.76,1.23,2621.34
battery,1122.81,531.51,Electric Box Truck,spring,5.55,3.63,1.17,3.79,3347.2
paper,2621.25,526.57,Heavy Duty Dump,monsoon,0.0,5.36,5.64,3.07,3287.44
metal,2132.58,367.81,Compact Logistics Van,spring,0.64,2.55,0.97,0.73,1953.1
battery,5046.29,252.88,Heavy Duty Dump,spring,4.48,2.56,1.03,2.63,3193.08
battery,4181.55,85.64,Heavy Duty Dump,monsoon,5.44,5.36,6.02,6.25,4468.99
paper,9516.12,97.4,Heavy Duty Dump,monsoon,0.95,6.04,5.74,3.92,4393.44
metal,4409.5,594.72,Electric Box Truck,summer,1.04,4.92,1.81,3.28,3782.62
metal,5259.76,21.46,Flatbed Carrier,winter,0.85,0.81,0.39,1.59,2488.23
plastic,7436.24,543.44,Compact Logistics Van,summer,0.77,3.0,1.63,1.04,3256.99
metal,8643.24,223.81,Flatbed Carrier,winter,0.23,2.33,0.31,0.97,3059.4
battery,3505.82,578.77,Compact Logistics Van,summer,5.62,2.82,2.92,4.11,3977.25
textile,6932.22,584.73,Flatbed Carrier,spring,1.53,3.76,1.19,2.61,3925.67
textile,6867.45,242.52,Electric Box Truck,winter,0.54,2.03,1.3,1.29,2905.43
paper,2829.22,210.61,Compact Logistics Van,summer,0.87,3.03,2.51,1.59,2277.99
textile,8703.35,585.63,Compact Logistics Van,summer,0.1,2.5,1.82,1.16,3589.2
textile,7472.9,159.97,Heavy Duty Dump,spring,0.17,2.98,0.77,0.87,2729.21
plastic,8382.42,293.02,Compact Logistics Van,winter,1.08,1.97,1.42,1.16,3184.09
metal,7205.03,378.82,Compact Logistics Van,monsoon,0.32,5.57,6.09,3.25,4015.61
battery,5953.61,565.28,Electric Box Truck,summer,5.73,4.38,2.74,4.01,4356.54
textile,4355.5,384.62,Compact Logistics Van,summer,0.62,3.02,2.56,1.7,2810.5
textile,9416.08,273.82,Flatbed Carrier,winter,0.0,1.43,1.95,0.84,3199.25
plastic,8177.78,449.68,Electric Box Truck,spring,0.01,4.85,1.79,1.93,3678.0
paper,8879.09,430.56,Heavy Duty Dump,summer,0.0,2.87,2.02,1.6,3634.37
textile,2932.44,199.86,Electric Box Truck,spring,0.37,3.52,2.52,2.16,2538.53
textile,7650.06,201.91,Heavy Duty Dump,monsoon,0.22,3.7,5.57,3.0,3771.09
paper,9797.14,303.23,Flatbed Carrier,summer,0.0,2.47,1.66,1.24,3486.25
metal,1276.68,581.8,Electric Box Truck,spring,0.39,2.71,0.87,1.04,2194.46
textile,8312.47,599.13,Electric Box Truck,winter,0.51,2.84,1.58,1.82,3835.56
textile,5756.84,244.37,Heavy Duty Dump,summer,0.0,1.92,2.87,1.83,2953.58
textile,475.8,65.54,Compact Logistics Van,summer,0.56,0.83,1.67,0.72,1286.66
plastic,798.13,515.83,Flatbed Carrier,winter,0.0,2.24,0.65,1.02,2023.39
textile,9682.87,149.16,Flatbed Carrier,monsoon,0.6,3.26,4.65,2.68,3927.18
textile,9739.35,140.75,Electric Box Truck,spring,0.16,1.62,2.02,0.03,2733.87
paper,7377.02,56.79,Electric Box Truck,spring,0.14,1.0,1.2,0.71,2514.17
battery,7470.45,412.93,Compact Logistics Van,winter,5.35,2.44,1.12,3.18,4071.94
battery,7426.73,303.12,Heavy Duty Dump,summer,5.73,2.87,2.53,3.43,4042.97
plastic,7829.71,525.63,Compact Logistics Van,monsoon,0.22,7.21,6.53,4.15,4706.81
battery,8148.57,413.76,Electric Box Truck,spring,5.08,2.28,1.8,3.09,4153.21
metal,9313.33,243.88,Heavy Duty Dump,summer,0.6,1.9,1.65,1.84,3597.42
metal,3792.2,125.65,Heavy Duty Dump,winter,0.63,0.44,0.51,0.2,1721.91
plastic,4006.94,356.76,Electric Box Truck,monsoon,0.0,6.22,6.52,4.04,3766.25
textile,1038.25,184.83,Compact Logistics Van,summer,0.0,1.83,1.1,0.8,1568.3
textile,5865.3,393.47,Compact Logistics Van,winter,0.76,2.53,0.75,1.85,3161.59
metal,4838.9,257.36,Heavy Duty Dump,spring,0.21,1.14,1.68,0.64,2269.9
paper,8527.86,480.65,Compact Logistics Van,monsoon,1.03,7.07,6.81,4.88,5106.6
paper,8551.8,253.88,Heavy Duty Dump,summer,1.07,3.22,0.92,1.69,3405.86
battery,4465.67,276.23,Compact Logistics Van,summer,4.89,2.92,0.2,2.88,3231.31
paper,4698.05,154.05,Electric Box Truck,summer,0.0,1.18,1.41,0.03,1845.39
paper,9554.06,414.59,Heavy Duty Dump,summer,0.85,3.78,0.95,1.42,3655.47
battery,4628.45,15.35,Compact Logistics Van,monsoon,5.04,5.2,6.34,5.58,4161.85
textile,9355.11,107.12,Flatbed Carrier,winter,0.42,1.12,0.8,0.6,2880.32
battery,4834.62,284.32,Heavy Duty Dump,winter,4.42,2.35,1.54,2.94,3336.07
paper,364.42,475.8,Compact Logistics Van,monsoon,1.38,4.51,6.84,4.96,3668.96
plastic,7854.1,244.49,Compact Logistics Van,winter,0.16,2.44,1.34,0.77,2854.57
textile,2215.98,300.74,Heavy Duty Dump,summer,0.0,2.62,1.54,1.23,2112.34
textile,1214.58,118.35,Compact Logistics Van,summer,0.26,1.96,2.02,0.9,1565.68
battery,4614.58,109.68,Flatbed Carrier,monsoon,4.68,4.29,6.93,5.35,4168.8
battery,1450.17,267.01,Heavy Duty Dump,winter,5.6,3.19,1.51,4.17,3256.25
plastic,7014.0,437.62,Electric Box Truck,winter,1.05,4.09,1.66,2.16,3561.46
plastic,9430.11,297.89,Compact Logistics Van,monsoon,0.0,5.46,6.21,3.76,4548.29
textile,6606.58,184.48,Electric Box Truck,summer,0.89,1.04,1.49,1.23,2765.53
metal,9270.97,581.86,Compact Logistics Van,spring,0.24,4.8,1.08,1.94,4038.59
textile,4189.94,209.02,Compact Logistics Van,summer,1.35,1.39,2.19,1.64,2543.44
textile,4391.46,436.91,Compact Logistics Van,spring,0.0,2.25,0.26,0.65,2409.49
textile,8305.88,120.36,Electric Box Truck,winter,1.04,1.73,0.0,0.35,2598.77
battery,8837.63,87.55,Compact Logistics Van,monsoon,4.88,3.67,6.51,4.31,4435.45
paper,4094.09,155.17,Compact Logistics Van,monsoon,0.27,5.44,5.35,3.12,3125.5
textile,5450.83,392.88,Heavy Duty Dump,monsoon,0.39,4.47,5.58,2.8,3513.72
battery,3178.91,199.22,Electric Box Truck,spring,5.68,2.34,1.27,3.82,3330.76
paper,4166.99,327.82,Compact Logistics Van,spring,0.57,2.13,0.63,1.4,2571.3
paper,8431.91,265.57,Heavy Duty Dump,monsoon,0.74,5.23,5.91,3.35,4145.22
metal,4132.05,493.73,Electric Box Truck,winter,0.35,2.84,1.24,1.58,2849.35
plastic,2279.53,376.6,Electric Box Truck,winter,0.82,2.89,1.59,1.59,2376.88
paper,9280.89,263.18,Heavy Duty Dump,monsoon,0.51,5.52,6.56,3.55,4385.89
battery,9688.13,514.28,Heavy Duty Dump,monsoon,4.86,6.3,5.24,5.57,5666.58
paper,3922.58,460.43,Heavy Duty Dump,spring,0.31,2.9,0.58,0.99,2502.83
plastic,936.77,452.51,Compact Logistics Van,winter,0.08,3.38,1.39,1.09,2001.17
plastic,1378.6,52.01,Heavy Duty Dump,spring,1.07,1.14,0.55,0.77,1456.83
battery,3712.57,544.27,Flatbed Carrier,winter,4.81,3.49,2.69,4.21,4015.32
metal,6378.08,50.52,Heavy Duty Dump,monsoon,0.15,4.31,5.4,3.61,3634.18
textile,1742.11,423.7,Electric Box Truck,summer,0.8,3.28,1.26,2.11,2571.47
paper,9501.05,232.26,Compact Logistics Van,monsoon,0.38,4.61,6.7,3.42,4329.01
metal,7364.45,21.21,Electric Box Truck,spring,0.41,1.32,0.96,0.66,2448.76
metal,5082.59,214.83,Flatbed Carrier,monsoon,0.0,5.28,7.04,3.6,3594.12
plastic,2324.98,520.25,Flatbed Carrier,monsoon,1.56,7.02,6.56,5.24,4199.3
paper,3722.82,115.87,Heavy Duty Dump,summer,0.36,1.08,2.49,1.32,2205.38
paper,673.95,395.35,Heavy Duty Dump,spring,0.4,3.42,1.52,1.27,1965.03
textile,4072.87,540.54,Electric Box Truck,monsoon,0.56,4.72,5.14,3.33,3681.77
textile,2630.99,32.82,Electric Box Truck,summer,0.22,2.11,2.25,1.33,1910.98
battery,4912.5,210.77,Heavy Duty Dump,summer,4.91,2.38,2.38,3.75,3625.59
textile,3576.52,319.16,Heavy Duty Dump,summer,0.58,2.91,1.19,1.27,2399.11
battery,8345.64,194.6,Flatbed Carrier,summer,5.54,1.27,3.4,3.26,4003.43
paper,5287.9,262.11,Heavy Duty Dump,summer,1.19,2.3,1.85,2.55,3213.04
battery,4683.18,445.26,Flatbed Carrier,monsoon,4.55,5.61,5.18,4.85,4361.82
metal,7339.72,370.5,Electric Box Truck,monsoon,0.31,7.64,5.9,4.32,4510.27
battery,218.77,100.42,Heavy Duty Dump,summer,4.76,1.9,2.12,2.96,2292.91
paper,5943.85,198.23,Compact Logistics Van,winter,1.23,0.94,0.89,1.04,2575.37
textile,9942.82,202.99,Electric Box Truck,summer,0.25,1.61,1.63,1.11,3331.45
metal,1560.4,56.63,Electric Box Truck,summer,0.5,0.19,2.71,0.87,1538.62
textile,9620.75,522.19,Flatbed Carrier,monsoon,0.18,6.52,5.78,3.58,4769.67
textile,3125.33,531.47,Heavy Duty Dump,summer,0.1,3.27,1.97,1.14,2512.19
metal,4727.09,116.58,Flatbed Carrier,monsoon,0.34,4.21,6.14,2.69,3003.3
battery,5208.68,44.36,Compact Logistics Van,summer,4.82,1.46,2.34,3.67,3440.87
plastic,2644.9,206.02,Compact Logistics Van,winter,0.68,1.85,0.4,1.03,1987.1
paper,9495.78,256.95,Flatbed Carrier,winter,0.73,1.02,2.35,1.21,3362.32
metal,3443.95,368.8,Electric Box Truck,winter,1.01,3.36,1.63,1.85,2693.83
paper,1701.68,290.87,Heavy Duty Dump,monsoon,0.55,5.3,6.66,4.33,3404.37
metal,340.21,534.88,Heavy Duty Dump,monsoon,0.0,6.95,5.24,3.72,3178.66
plastic,8213.45,399.47,Flatbed Carrier,winter,0.0,1.85,1.66,1.4,3388.55
metal,9698.84,573.86,Flatbed Carrier,winter,0.59,4.92,0.59,1.89,4086.96
battery,5771.44,439.01,Heavy Duty Dump,monsoon,4.43,6.64,5.59,5.38,4785.04
paper,3774.88,340.81,Electric Box Truck,spring,0.24,2.48,0.09,1.02,2347.45
battery,4025.73,281.48,Electric Box Truck,summer,3.81,2.14,2.6,2.96,3194.48
metal,7714.43,355.1,Flatbed Carrier,monsoon,0.58,6.72,5.04,3.73,4291.89
battery,9692.01,561.72,Electric Box Truck,summer,5.3,4.73,2.09,3.64,4856.07
textile,5014.47,108.75,Electric Box Truck,winter,2.06,2.39,1.04,2.39,2906.73
paper,6698.66,480.42,Flatbed Carrier,spring,0.02,3.72,1.4,1.44,3230.52
metal,1841.83,494.66,Flatbed Carrier,winter,1.02,4.33,0.99,2.09,2664.29
plastic,677.78,282.93,Electric Box Truck,monsoon,0.64,5.64,5.55,3.17,2688.1
textile,2167.27,541.13,Electric Box Truck,summer,1.38,3.03,1.76,1.66,2587.16
plastic,6583.13,582.83,Electric Box Truck,spring,0.62,4.8,0.0,1.88,3532.06
textile,751.0,569.26,Flatbed Carrier,monsoon,1.11,6.0,5.66,4.22,3519.5
metal,5500.02,553.81,Compact Logistics Van,spring,0.18,3.45,2.18,1.91,3313.77
textile,8866.98,158.78,Flatbed Carrier,summer,0.94,2.05,0.63,1.36,3197.31
metal,3240.41,56.86,Compact Logistics Van,monsoon,1.36,5.54,5.89,4.12,3307.31
paper,7141.87,543.33,Compact Logistics Van,monsoon,1.0,7.45,5.52,4.25,4648.41
plastic,4423.18,590.97,Compact Logistics Van,monsoon,0.64,8.4,5.94,5.1,4598.66
paper,7376.48,467.9,Compact Logistics Van,spring,0.79,4.79,0.74,1.92,3553.98
plastic,8923.6,200.5,Compact Logistics Van,winter,0.22,3.15,0.5,1.77,3444.22
metal,8602.42,557.09,Heavy Duty Dump,monsoon,0.47,6.05,5.06,4.27,4936.51
metal,6481.74,11.23,Flatbed Carrier,winter,0.58,0.98,0.84,0.61,2255.16
paper,9962.3,12.71,Electric Box Truck,summer,0.69,1.72,2.24,1.42,3245.63
battery,6097.51,275.68,Compact Logistics Van,summer,4.81,1.4,2.09,2.7,3442.82
metal,3843.77,107.24,Flatbed Carrier,winter,0.57,3.25,0.7,0.85,2003.69
metal,9876.13,513.6,Flatbed Carrier,winter,0.38,4.09,1.1,1.73,3973.56
battery,3313.89,353.34,Compact Logistics Van,winter,4.83,1.34,1.58,2.98,3162.08
metal,2686.87,247.07,Compact Logistics Van,spring,0.04,2.27,2.22,0.93,2000.26
textile,5766.72,383.39,Flatbed Carrier,spring,1.95,3.49,0.34,1.82,3118.99
battery,835.82,308.21,Electric Box Truck,winter,4.7,1.62,0.0,2.51,2451.62
paper,7695.85,277.45,Flatbed Carrier,summer,0.0,3.11,1.83,0.68,2824.57
textile,2209.83,282.05,Flatbed Carrier,summer,0.74,2.77,1.59,2.12,2492.47
paper,3624.93,411.08,Compact Logistics Van,spring,0.47,3.47,1.39,2.52,3078.2
plastic,9584.07,362.16,Electric Box Truck,monsoon,1.04,5.96,6.2,4.55,5007.32
textile,6767.05,458.27,Electric Box Truck,monsoon,0.0,6.11,7.39,3.62,4194.8
battery,4221.04,16.43,Heavy Duty Dump,spring,5.86,0.35,1.48,2.84,2858.31
paper,6278.81,515.36,Flatbed Carrier,spring,0.45,5.31,1.42,2.6,3720.77
metal,2482.46,314.07,Compact Logistics Van,spring,0.0,2.9,1.65,2.13,2584.08
metal,9934.41,362.71,Compact Logistics Van,summer,0.13,2.09,1.98,1.02,3480.52
textile,4067.84,442.95,Compact Logistics Van,winter,1.08,2.02,2.71,2.07,2995.93
plastic,8617.0,187.61,Electric Box Truck,summer,0.68,1.79,1.83,0.77,2923.69
textile,4987.92,334.74,Compact Logistics Van,summer,0.14,1.86,2.16,0.96,2533.23
paper,3156.84,191.6,Heavy Duty Dump,spring,0.09,1.71,0.2,0.48,1814.31
battery,8977.87,201.43,Compact Logistics Van,summer,5.35,2.61,1.75,3.98,4447.71
plastic,6772.97,252.1,Heavy Duty Dump,monsoon,1.02,5.66,6.43,3.95,4098.37
paper,8906.82,559.29,Electric Box Truck,monsoon,0.32,7.11,6.01,4.44,5071.13
textile,5133.82,347.65,Electric Box Truck,winter,1.85,2.22,0.73,2.12,3097.41
metal,8621.7,238.36,Heavy Duty Dump,winter,0.0,1.73,1.62,0.36,2801.99
textile,6794.36,149.79,Flatbed Carrier,winter,0.2,0.1,2.11,0.98,2641.7
paper,3751.81,460.18,Flatbed Carrier,winter,0.75,4.15,1.55,2.28,3055.72
textile,1814.8,263.4,Flatbed Carrier,spring,0.07,2.81,0.68,1.47,2103.56
textile,7741.97,588.28,Compact Logistics Van,spring,1.06,1.98,1.13,1.26,3464.8
textile,1627.92,193.06,Flatbed Carrier,summer,0.68,0.02,2.99,1.19,1860.42
plastic,7394.64,459.6,Flatbed Carrier,spring,0.21,4.38,0.86,1.54,3376.89
textile,535.13,498.15,Electric Box Truck,monsoon,1.08,7.09,5.97,4.49,3515.39
metal,5897.93,440.3,Electric Box Truck,spring,0.07,2.61,0.36,1.45,3042.76
battery,9021.35,57.1,Flatbed Carrier,monsoon,4.74,5.04,5.36,4.58,4554.55
plastic,5926.65,358.29,Electric Box Truck,summer,0.42,2.25,1.71,1.16,2819.75
