budget,primary_material,equipment_name,cost,roi,priority_score
236696.74,battery,Solar Decanter Centrifuge,212551.37,16.58,2.14
241040.38,battery,IoT Weighbridge Scales,200982.64,37.37,4.73
304373.4,textile,AI Optical Sorter,234258.55,39.78,6.16
289641.09,textile,Solar Decanter Centrifuge,234308.66,28.28,3.96
62081.16,metal,High-Shear Pelletizer Extruder,46326.92,16.09,2.07
431916.9,metal,IoT Weighbridge Scales,337271.79,12.83,3.39
425250.24,metal,AI Optical Sorter,314454.56,39.52,4.8
160181.68,paper,Solar Decanter Centrifuge,133028.28,17.59,2.5
549960.04,battery,IoT Weighbridge Scales,474975.9,37.54,5.43
482790.01,battery,Solar Decanter Centrifuge,413668.61,22.85,5.35
776015.72,metal,High-Shear Pelletizer Extruder,617984.21,31.23,7.17
96167.51,battery,Automated Compactor Baler,90002.33,13.51,2.52
427301.24,textile,Solar Decanter Centrifuge,304362.24,32.65,5.14
707219.26,paper,Automated Compactor Baler,527835.19,30.43,6.93
794181.44,textile,Automated Compactor Baler,738611.33,28.93,6.22
210703.86,battery,IoT Weighbridge Scales,153011.17,28.35,3.86
229074.42,metal,IoT Weighbridge Scales,161082.64,37.03,5.78
536810.45,metal,High-Shear Pelletizer Extruder,471903.96,20.07,3.52
123826.03,battery,Automated Compactor Baler,90160.96,15.42,1.49
210725.05,plastic,Solar Decanter Centrifuge,170840.81,13.23,1.48
289739.05,paper,Automated Compactor Baler,203344.14,14.19,1.71
188535.43,metal,High-Shear Pelletizer Extruder,178188.17,29.78,3.1
57275.27,plastic,AI Optical Sorter,40835.58,45.92,3.67
168594.93,battery,IoT Weighbridge Scales,149857.17,33.84,4.41
520087.86,textile,IoT Weighbridge Scales,436058.34,47.51,7.88
704347.11,metal,AI Optical Sorter,583565.79,41.85,8.15
382837.68,battery,IoT Weighbridge Scales,318432.03,13.38,3.93
168125.41,plastic,Automated Compactor Baler,142638.04,17.91,2.87
142597.68,paper,High-Shear Pelletizer Extruder,113854.24,20.19,3.03
507083.97,paper,Solar Decanter Centrifuge,441998.03,25.19,4.47
616843.43,paper,IoT Weighbridge Scales,449454.53,23.32,5.05
211340.45,textile,Solar Decanter Centrifuge,160922.56,32.77,4.82
255908.44,textile,Automated Compactor Baler,215271.4,24.21,4.37
688613.34,metal,Automated Compactor Baler,628905.91,21.53,4.77
439626.39,plastic,High-Shear Pelletizer Extruder,309018.33,32.05,5.99
602209.92,battery,AI Optical Sorter,523684.65,33.88,7.44
345483.37,textile,IoT Weighbridge Scales,256368.6,36.98,6.24
329395.59,textile,High-Shear Pelletizer Extruder,293139.13,39.85,6.27
391712.28,paper,IoT Weighbridge Scales,342938.93,42.09,6.25
393993.47,textile,High-Shear Pelletizer Extruder,342755.69,32.11,6.36
518706.71,paper,Solar Decanter Centrifuge,384539.38,47.2,7.35
593682.7,plastic,Automated Compactor Baler,498572.64,31.16,6.6
351732.15,plastic,High-Shear Pelletizer Extruder,256619.74,39.38,5.65
544584.24,plastic,Solar Decanter Centrifuge,393477.59,39.74,7.16
512612.66,battery,Automated Compactor Baler,393758.0,43.38,5.74
438229.2,plastic,Automated Compactor Baler,368583.74,16.12,3.71
797742.88,textile,Automated Compactor Baler,614563.09,20.79,5.84
440427.91,metal,AI Optical Sorter,385640.61,34.83,5.71
788483.28,textile,Automated Compactor Baler,602565.14,28.42,6.73
478490.01,paper,Automated Compactor Baler,396756.27,41.49,6.31
460345.73,metal,AI Optical Sorter,363418.2,45.9,6.28
485784.87,textile,IoT Weighbridge Scales,429554.82,18.41,4.9
668510.93,textile,IoT Weighbridge Scales,473054.47,16.75,5.2
367151.31,battery,Automated Compactor Baler,328984.75,39.48,6.07
591958.79,plastic,Solar Decanter Centrifuge,464387.23,28.91,6.55
297015.14,textile,AI Optical Sorter,237540.86,47.28,5.75
219411.06,textile,IoT Weighbridge Scales,157483.64,29.56,4.13
704079.55,paper,AI Optical Sorter,508037.25,45.72,9.23
333647.26,paper,High-Shear Pelletizer Extruder,243957.55,18.78,3.89
649758.81,textile,AI Optical Sorter,571365.99,45.96,7.73
445829.16,battery,AI Optical Sorter,381617.38,32.25,6.47
462959.97,metal,Solar Decanter Centrifuge,378220.84,35.67,5.19
721300.04,plastic,Solar Decanter Centrifuge,634595.81,33.06,7.15
237499.05,paper,Solar Decanter Centrifuge,207194.65,36.45,4.93
239209.22,paper,AI Optical Sorter,215043.89,29.1,3.77
754070.1,metal,Automated Compactor Baler,640195.7,13.13,5.79
177701.85,battery,AI Optical Sorter,127188.83,42.03,4.73
525747.02,paper,AI Optical Sorter,452254.7,23.17,5.27
542083.36,textile,AI Optical Sorter,468833.0,26.46,5.5
626877.4,plastic,IoT Weighbridge Scales,516633.15,21.97,5.77
451178.06,plastic,Solar Decanter Centrifuge,348041.76,21.75,4.32
199904.73,metal,High-Shear Pelletizer Extruder,186643.65,12.31,2.02
85849.78,plastic,AI Optical Sorter,62540.39,36.34,4.7
596353.21,textile,AI Optical Sorter,559665.68,41.31,7.69
727986.27,paper,IoT Weighbridge Scales,663045.88,29.32,6.89
453329.37,battery,AI Optical Sorter,364159.86,43.57,6.34
144541.57,battery,AI Optical Sorter,103928.45,30.04,4.34
487263.99,textile,Automated Compactor Baler,455834.42,14.32,4.26
351777.9,battery,High-Shear Pelletizer Extruder,326343.92,42.48,6.53
249783.23,battery,High-Shear Pelletizer Extruder,206161.55,30.75,5.78
386275.2,battery,AI Optical Sorter,282013.77,15.55,3.02
91754.61,battery,IoT Weighbridge Scales,66534.26,29.86,3.88
567473.27,metal,Solar Decanter Centrifuge,516548.92,30.49,5.65
385981.39,textile,Solar Decanter Centrifuge,289426.3,23.08,3.91
81750.87,paper,IoT Weighbridge Scales,61646.31,41.06,4.09
792139.97,paper,Solar Decanter Centrifuge,654887.88,36.75,8.4
524962.61,plastic,High-Shear Pelletizer Extruder,406378.9,22.08,4.56
282323.99,textile,Solar Decanter Centrifuge,254833.85,47.15,5.67
533504.21,plastic,IoT Weighbridge Scales,384094.91,27.05,5.43
116094.93,metal,AI Optical Sorter,102520.55,33.99,4.08
665219.72,metal,IoT Weighbridge Scales,597902.24,46.89,9.5
383604.12,plastic,Solar Decanter Centrifuge,352505.05,40.85,5.34
757571.08,paper,AI Optical Sorter,580512.19,29.82,6.78
611026.05,metal,Automated Compactor Baler,539501.8,17.93,5.57
313516.95,textile,High-Shear Pelletizer Extruder,262962.79,44.55,5.92
639314.54,battery,Solar Decanter Centrifuge,563458.21,19.55,6.66
713506.24,metal,Solar Decanter Centrifuge,575928.88,18.56,5.05
657255.69,plastic,High-Shear Pelletizer Extruder,547184.35,16.96,4.32
326792.12,textile,IoT Weighbridge Scales,308492.9,23.18,5.14
456129.71,plastic,AI Optical Sorter,406154.17,14.1,3.42
798815.93,paper,AI Optical Sorter,624007.3,26.26,7.42
221306.72,plastic,Automated Compactor Baler,159243.58,40.37,3.91
676614.62,paper,Automated Compactor Baler,589799.51,30.72,6.28
195495.47,paper,IoT Weighbridge Scales,161536.15,31.13,4.81
654185.62,metal,IoT Weighbridge Scales,585624.59,18.9,5.1
571489.21,battery,Automated Compactor Baler,408146.16,13.06,4.05
183696.34,plastic,AI Optical Sorter,156814.27,13.69,2.39
548600.03,metal,Solar Decanter Centrifuge,514190.8,47.95,7.66
226555.44,battery,AI Optical Sorter,201874.73,31.43,4.32
346802.65,battery,High-Shear Pelletizer Extruder,315721.82,12.4,2.32
284096.21,plastic,AI Optical Sorter,236851.08,19.16,2.6
553231.03,plastic,AI Optical Sorter,402530.1,28.84,5.67
103153.78,battery,Automated Compactor Baler,79026.22,30.99,4.1
461812.42,plastic,Solar Decanter Centrifuge,432842.88,39.98,6.33
264053.97,paper,Automated Compactor Baler,188766.4,21.84,3.38
546239.9,plastic,Solar Decanter Centrifuge,461037.52,37.07,6.81
173470.43,metal,IoT Weighbridge Scales,122048.46,33.65,3.59
163186.99,plastic,IoT Weighbridge Scales,150440.55,22.19,3.15
378472.97,paper,Solar Decanter Centrifuge,289177.47,25.69,4.68
306283.91,metal,Automated Compactor Baler,215905.9,38.48,5.88
415262.03,paper,AI Optical Sorter,389789.61,45.33,6.63
320106.59,textile,AI Optical Sorter,240639.03,45.05,6.64
661385.17,battery,AI Optical Sorter,509256.22,15.81,4.69
510637.79,textile,High-Shear Pelletizer Extruder,371025.36,14.96,3.67
52025.91,paper,Solar Decanter Centrifuge,41143.71,30.05,3.19
184384.76,battery,Solar Decanter Centrifuge,155984.42,19.55,2.65
105581.56,textile,Solar Decanter Centrifuge,76415.88,46.22,5.17
762551.87,metal,AI Optical Sorter,588730.45,17.77,5.81
458398.47,textile,Automated Compactor Baler,400894.15,34.46,5.66
590242.19,plastic,IoT Weighbridge Scales,460733.97,33.97,5.53
754331.52,battery,Solar Decanter Centrifuge,596558.03,28.72,7.44
772957.8,paper,Solar Decanter Centrifuge,585009.24,20.13,5.38
65699.02,battery,AI Optical Sorter,57005.45,33.69,3.29
639907.74,metal,IoT Weighbridge Scales,465110.72,17.24,4.36
75078.49,metal,IoT Weighbridge Scales,70469.57,16.16,2.83
670045.74,metal,IoT Weighbridge Scales,553584.14,37.1,7.85
490115.33,paper,AI Optical Sorter,427711.53,31.22,4.66
515624.47,metal,IoT Weighbridge Scales,424897.25,41.69,6.05
351617.29,battery,Automated Compactor Baler,264279.53,36.75,6.23
168277.72,metal,High-Shear Pelletizer Extruder,127096.93,21.87,2.47
460708.99,plastic,High-Shear Pelletizer Extruder,337923.27,45.98,6.59
354925.86,textile,Automated Compactor Baler,288017.66,20.09,4.08
595147.67,textile,Automated Compactor Baler,426186.01,13.98,5.26
220882.39,textile,AI Optical Sorter,197354.89,41.3,5.3
420131.89,metal,Automated Compactor Baler,384335.5,28.83,4.29
778943.41,metal,AI Optical Sorter,682815.71,22.46,4.83
173879.75,paper,Solar Decanter Centrifuge,133833.32,28.95,3.65
471980.75,battery,AI Optical Sorter,336001.11,25.88,5.39
168680.56,textile,Automated Compactor Baler,122534.81,35.93,3.9
752264.42,textile,Automated Compactor Baler,608916.16,12.78,4.66
412694.79,plastic,Automated Compactor Baler,298529.78,30.28,4.92
674736.56,textile,Solar Decanter Centrifuge,506156.39,22.34,4.91
171421.71,metal,Solar Decanter Centrifuge,159498.87,25.44,3.31
350266.7,paper,High-Shear Pelletizer Extruder,276637.29,33.61,5.28
138540.88,metal,Solar Decanter Centrifuge,111248.12,32.84,4.79
436313.28,battery,Solar Decanter Centrifuge,376269.2,27.27,3.79
368746.43,metal,IoT Weighbridge Scales,264460.42,30.27,4.93
67981.59,plastic,IoT Weighbridge Scales,47937.95,46.64,3.76
396766.7,battery,AI Optical Sorter,360618.35,46.82,5.43
684913.08,textile,Automated Compactor Baler,573960.27,20.31,4.75
607626.9,battery,AI Optical Sorter,548236.62,40.11,7.47
650040.81,textile,IoT Weighbridge Scales,528305.01,24.69,5.16
466182.38,metal,AI Optical Sorter,401810.75,27.18,5.01
63072.91,battery,IoT Weighbridge Scales,45311.28,34.65,3.08
644757.73,textile,Solar Decanter Centrifuge,534929.49,40.05,6.8
302614.33,plastic,Automated Compactor Baler,225914.09,16.52,2.86
153783.92,battery,IoT Weighbridge Scales,119704.45,42.19,5.98
432545.17,plastic,High-Shear Pelletizer Extruder,371753.35,12.34,3.09
74732.71,paper,AI Optical Sorter,67854.01,35.74,4.74
531819.93,plastic,IoT Weighbridge Scales,418167.33,15.83,3.54
418892.65,paper,High-Shear Pelletizer Extruder,316436.47,21.7,4.46
743948.48,plastic,IoT Weighbridge Scales,642969.6,38.36,6.76
316554.06,textile,IoT Weighbridge Scales,242723.52,29.17,4.16
188905.63,battery,Automated Compactor Baler,157619.23,47.83,6.2
349331.97,battery,IoT Weighbridge Scales,276430.25,26.14,4.58
456769.21,paper,AI Optical Sorter,329925.15,19.6,4.34
426598.73,plastic,AI Optical Sorter,325586.01,30.63,6.82
744313.77,plastic,Solar Decanter Centrifuge,598193.03,45.49,8.58
638662.24,paper,Automated Compactor Baler,554967.41,32.16,6.82
518908.65,paper,Automated Compactor Baler,432457.14,16.07,4.7
671205.17,battery,Automated Compactor Baler,617140.4,39.54,7.31
256015.62,textile,Automated Compactor Baler,234437.51,29.11,3.94
795837.57,textile,IoT Weighbridge Scales,732601.65,32.7,6.25
59093.56,paper,AI Optical Sorter,50283.19,44.99,4.04
87516.7,textile,AI Optical Sorter,78529.69,24.91,2.67
667510.61,paper,IoT Weighbridge Scales,535144.8,42.53,8.4
325743.53,battery,AI Optical Sorter,269045.71,35.25,5.8
411037.03,metal,Solar Decanter Centrifuge,303601.53,26.41,4.83
324870.18,plastic,IoT Weighbridge Scales,306866.32,38.22,4.62
75877.91,textile,High-Shear Pelletizer Extruder,58540.94,30.61,4.16
247522.71,metal,IoT Weighbridge Scales,178768.92,14.09,3.5
466105.07,plastic,Automated Compactor Baler,391839.33,46.72,6.51
212918.07,battery,Solar Decanter Centrifuge,196485.2,40.94,4.81
587785.95,metal,High-Shear Pelletizer Extruder,517091.02,38.27,6.23
125181.03,metal,Solar Decanter Centrifuge,108901.8,41.91,4.21
468788.36,plastic,High-Shear Pelletizer Extruder,427177.58,12.01,3.32
176385.98,paper,AI Optical Sorter,129097.92,39.15,4.09
247970.64,paper,AI Optical Sorter,196338.99,44.68,5.65
278476.87,textile,Solar Decanter Centrifuge,196359.41,30.79,3.71
484202.88,metal,AI Optical Sorter,440047.12,44.16,7.23
667419.77,plastic,Automated Compactor Baler,467714.7,22.93,5.59
557845.62,textile,AI Optical Sorter,418233.23,14.87,3.69
677766.6,textile,IoT Weighbridge Scales,517390.25,23.91,5.83
380111.34,metal,High-Shear Pelletizer Extruder,302866.11,21.05,2.95
174650.4,paper,High-Shear Pelletizer Extruder,154644.48,39.24,4.1
491064.68,plastic,High-Shear Pelletizer Extruder,403196.79,31.8,6.07
418842.97,paper,Solar Decanter Centrifuge,368111.24,15.95,3.34
99971.0,battery,High-Shear Pelletizer Extruder,93897.55,14.18,2.16
382440.08,paper,Automated Compactor Baler,314111.89,41.89,6.19
315429.25,paper,IoT Weighbridge Scales,255411.64,46.31,6.49
506159.95,battery,AI Optical Sorter,428139.91,46.12,7.69
676267.69,plastic,Automated Compactor Baler,547010.2,21.01,5.46
565203.77,paper,Automated Compactor Baler,420533.35,33.86,6.88
74082.19,plastic,High-Shear Pelletizer Extruder,65987.76,39.34,4.26
714555.48,paper,AI Optical Sorter,665931.77,23.98,5.77
55218.19,textile,Solar Decanter Centrifuge,51988.7,33.75,3.65
611927.25,paper,Automated Compactor Baler,433595.08,37.28,7.14
201707.89,plastic,Solar Decanter Centrifuge,190859.61,43.6,4.39
721329.67,plastic,Automated Compactor Baler,567107.03,44.17,8.34
124798.23,textile,AI Optical Sorter,91750.74,20.1,1.59
468600.62,battery,High-Shear Pelletizer Extruder,341680.49,25.24,4.9
719556.91,textile,IoT Weighbridge Scales,629530.35,28.77,6.37
434023.71,paper,Automated Compactor Baler,340818.98,18.76,5.09
141098.58,metal,High-Shear Pelletizer Extruder,103994.38,35.54,4.43
560906.94,textile,IoT Weighbridge Scales,463249.8,44.19,6.37
787208.69,paper,Automated Compactor Baler,638062.97,14.05,5.93
783870.85,metal,AI Optical Sorter,616908.97,37.88,7.43
62682.36,plastic,Automated Compactor Baler,44866.38,15.88,2.77
537688.04,paper,IoT Weighbridge Scales,441819.21,47.23,7.36
249124.41,plastic,AI Optical Sorter,191127.08,31.16,4.64
505144.86,textile,AI Optical Sorter,380283.79,29.37,5.78
556392.06,metal,AI Optical Sorter,453805.91,32.02,4.76
263642.1,battery,AI Optical Sorter,190761.08,18.18,3.28
120657.77,paper,High-Shear Pelletizer Extruder,114334.53,36.59,3.76
532643.12,battery,Solar Decanter Centrifuge,392223.94,42.14,6.06
130671.04,paper,AI Optical Sorter,92758.54,12.52,1.73
139421.43,paper,Automated Compactor Baler,107632.6,44.94,4.99
103366.44,paper,Automated Compactor Baler,85775.54,42.89,5.37
343533.57,metal,Solar Decanter Centrifuge,264539.43,13.91,2.88
221837.46,battery,AI Optical Sorter,162558.12,28.39,4.76
657852.21,metal,IoT Weighbridge Scales,528183.58,30.68,6.38
353454.41,metal,AI Optical Sorter,293269.04,17.04,3.4
434856.13,battery,Solar Decanter Centrifuge,363337.24,36.83,4.34
384715.0,metal,IoT Weighbridge Scales,293387.83,44.08,5.56
299814.16,battery,High-Shear Pelletizer Extruder,217106.71,12.48,1.97
66235.93,plastic,IoT Weighbridge Scales,57624.9,15.09,1.65
395690.58,paper,Solar Decanter Centrifuge,374502.02,36.02,6.07
498447.07,paper,High-Shear Pelletizer Extruder,388970.96,17.75,3.69
203887.13,battery,Solar Decanter Centrifuge,174800.33,47.14,5.27
477790.49,textile,Solar Decanter Centrifuge,408811.39,23.34,4.52
456410.13,metal,Automated Compactor Baler,402222.38,46.74,8.04
642805.61,textile,AI Optical Sorter,492027.98,30.45,6.5
297950.61,battery,High-Shear Pelletizer Extruder,242214.61,46.87,6.03
364306.01,plastic,High-Shear Pelletizer Extruder,288253.23,21.85,3.62
429527.2,battery,IoT Weighbridge Scales,378647.79,30.36,5.41
124421.67,plastic,Automated Compactor Baler,108838.71,21.1,2.4
80365.87,metal,Automated Compactor Baler,75046.01,12.42,1.67
705038.12,battery,AI Optical Sorter,613652.14,36.48,8.76
551810.01,plastic,High-Shear Pelletizer Extruder,499813.99,13.51,2.67
282610.42,paper,High-Shear Pelletizer Extruder,228372.81,47.25,5.73
116474.73,battery,IoT Weighbridge Scales,95516.17,34.45,3.76
372816.43,metal,Automated Compactor Baler,295897.97,45.32,7.03
671697.42,textile,AI Optical Sorter,488344.74,27.4,6.24
157768.71,battery,High-Shear Pelletizer Extruder,122925.34,36.38,3.94
413029.21,battery,IoT Weighbridge Scales,345311.22,17.56,4.33
654561.62,battery,Automated Compactor Baler,500507.96,38.07,6.55
731026.16,paper,Solar Decanter Centrifuge,568278.09,47.15,8.43
449083.35,metal,IoT Weighbridge Scales,323377.83,40.45,6.16
367069.08,textile,AI Optical Sorter,280238.67,27.21,4.84
267569.2,paper,Automated Compactor Baler,210965.12,24.01,2.64
78453.73,paper,AI Optical Sorter,59822.09,27.01,3.65
144908.34,plastic,AI Optical Sorter,126968.54,44.58,4.95
375955.74,metal,Automated Compactor Baler,313111.06,19.25,4.38
402760.44,plastic,High-Shear Pelletizer Extruder,344624.59,35.5,5.1
627046.83,paper,High-Shear Pelletizer Extruder,589057.74,43.24,7.18
501161.38,paper,Solar Decanter Centrifuge,396547.11,44.56,7.63
427421.26,paper,High-Shear Pelletizer Extruder,362400.82,34.79,5.86
375817.44,battery,Solar Decanter Centrifuge,264880.74,41.71,6.6
157041.39,textile,IoT Weighbridge Scales,132272.31,20.86,3.7
402903.45,paper,IoT Weighbridge Scales,367397.65,23.99,4.41
349971.59,plastic,IoT Weighbridge Scales,298235.66,26.38,3.68
663346.76,paper,High-Shear Pelletizer Extruder,565532.73,17.54,6.06
645288.07,paper,Solar Decanter Centrifuge,489986.22,22.39,5.16
363698.06,battery,High-Shear Pelletizer Extruder,279568.9,29.27,4.89
609303.74,textile,AI Optical Sorter,471129.76,24.46,5.88
332291.37,paper,IoT Weighbridge Scales,306492.83,47.98,6.74
552765.23,textile,Automated Compactor Baler,478137.26,38.4,5.89
158101.75,textile,Automated Compactor Baler,140693.24,42.71,3.87
779642.45,battery,High-Shear Pelletizer Extruder,665332.81,46.02,7.56
710411.26,metal,Automated Compactor Baler,578835.83,21.06,6.09
327740.13,plastic,Solar Decanter Centrifuge,272351.49,30.18,4.93
733590.5,battery,AI Optical Sorter,532450.77,13.88,5.07
377031.19,plastic,High-Shear Pelletizer Extruder,283561.46,28.62,4.59
424047.77,paper,AI Optical Sorter,323496.83,37.01,6.2
627114.04,battery,Solar Decanter Centrifuge,446732.12,42.56,6.51
234858.43,paper,AI Optical Sorter,178226.51,16.96,3.5
509124.67,metal,Automated Compactor Baler,431497.97,22.73,5.43
373799.62,plastic,Solar Decanter Centrifuge,328292.45,21.85,3.68
141190.51,metal,AI Optical Sorter,110374.89,27.93,3.45
515209.11,paper,IoT Weighbridge Scales,389486.01,45.89,8.49
499339.01,battery,IoT Weighbridge Scales,403499.79,26.86,5.46
103255.09,textile,Solar Decanter Centrifuge,73391.85,32.66,4.66
690110.5,metal,IoT Weighbridge Scales,535246.88,40.65,7.58
664638.44,paper,High-Shear Pelletizer Extruder,476281.64,18.15,5.44
283340.51,metal,High-Shear Pelletizer Extruder,245003.56,34.43,3.97
336487.6,paper,High-Shear Pelletizer Extruder,283971.92,33.0,4.97
612490.24,paper,High-Shear Pelletizer Extruder,537464.68,12.72,3.22
56623.88,metal,Solar Decanter Centrifuge,53753.44,30.89,3.84
457952.31,textile,Automated Compactor Baler,359884.18,28.55,4.8
253658.58,battery,IoT Weighbridge Scales,234750.76,16.59,2.54
667793.21,plastic,IoT Weighbridge Scales,632867.86,29.0,7.08
291302.77,plastic,Solar Decanter Centrifuge,269138.36,40.9,7.07
154645.09,paper,High-Shear Pelletizer Extruder,131204.28,35.03,4.05
301042.02,paper,IoT Weighbridge Scales,217583.1,29.06,4.41
195275.22,metal,AI Optical Sorter,168976.72,44.81,4.66
536560.2,textile,High-Shear Pelletizer Extruder,394380.41,24.54,4.88
342161.87,paper,AI Optical Sorter,318986.94,43.47,5.95
318230.41,metal,IoT Weighbridge Scales,299318.9,35.53,5.02
678619.4,paper,Automated Compactor Baler,573283.13,34.22,5.83
561869.78,paper,IoT Weighbridge Scales,490739.54,45.56,6.89
587947.64,paper,High-Shear Pelletizer Extruder,495620.71,44.19,7.76
210843.67,metal,AI Optical Sorter,172379.91,28.52,3.88
787731.9,battery,Automated Compactor Baler,622760.25,23.47,6.28
500010.86,paper,IoT Weighbridge Scales,417626.86,21.89,5.27
597977.69,metal,Automated Compactor Baler,425755.27,43.75,8.64
154390.85,metal,AI Optical Sorter,124032.72,28.62,2.84
242305.37,textile,AI Optical Sorter,180608.85,12.5,2.73
510622.03,plastic,AI Optical Sorter,479262.93,20.9,4.84
598734.43,plastic,Automated Compactor Baler,487357.24,14.56,4.07
594059.09,metal,Automated Compactor Baler,557687.61,18.95,5.31
712056.56,textile,IoT Weighbridge Scales,504217.95,38.8,7.34
326659.32,battery,Automated Compactor Baler,288099.98,15.38,3.11
544531.39,battery,AI Optical Sorter,509160.82,39.43,6.13
58365.94,metal,Automated Compactor Baler,44228.09,30.32,2.95
715863.59,battery,Automated Compactor Baler,530730.67,38.33,7.64
464622.77,textile,Automated Compactor Baler,413113.83,33.98,5.73
323151.67,battery,Solar Decanter Centrifuge,288909.86,29.51,4.17
174050.68,paper,AI Optical Sorter,131799.32,30.96,3.61
388659.77,battery,IoT Weighbridge Scales,352892.2,18.29,2.74
591985.4,metal,Automated Compactor Baler,521629.3,22.26,5.25
614354.82,metal,Solar Decanter Centrifuge,473561.79,29.95,5.54
245388.08,plastic,AI Optical Sorter,178986.05,46.14,6.35
218609.67,plastic,Solar Decanter Centrifuge,176729.36,19.28,3.65
645622.03,metal,Automated Compactor Baler,533026.0,45.01,7.23
580073.96,plastic,Automated Compactor Baler,497789.49,20.36,3.25
332641.99,battery,AI Optical Sorter,247267.19,24.27,4.32
356365.54,paper,Solar Decanter Centrifuge,258093.41,24.64,4.09
329300.5,battery,Automated Compactor Baler,294443.29,23.56,3.7
317286.82,battery,Solar Decanter Centrifuge,278071.74,32.78,5.06
201274.97,paper,Automated Compactor Baler,165752.1,13.99,2.79
765978.14,metal,AI Optical Sorter,669744.71,30.22,6.9
221706.75,textile,High-Shear Pelletizer Extruder,208496.73,31.76,4.99
647492.55,plastic,Solar Decanter Centrifuge,578205.09,13.38,5.35
442022.95,textile,IoT Weighbridge Scales,324039.35,36.37,5.59
556284.97,metal,Solar Decanter Centrifuge,441546.26,34.53,5.83
467598.79,plastic,IoT Weighbridge Scales,422483.33,33.82,6.26
762153.08,plastic,IoT Weighbridge Scales,554113.1,30.23,5.48
99381.62,plastic,IoT Weighbridge Scales,88060.49,38.63,4.62
235714.17,textile,IoT Weighbridge Scales,188871.99,46.63,5.77
466880.37,paper,High-Shear Pelletizer Extruder,407883.26,14.0,3.25
263405.46,metal,Solar Decanter Centrifuge,189644.93,42.8,6.36
164665.34,plastic,Automated Compactor Baler,124155.12,16.6,1.54
284304.42,plastic,Automated Compactor Baler,255153.85,35.62,4.13
405356.33,textile,Solar Decanter Centrifuge,299316.99,18.48,4.93
375204.53,paper,AI Optical Sorter,346136.97,42.93,7.65
256181.25,metal,Automated Compactor Baler,179972.05,29.32,4.15
360835.95,metal,High-Shear Pelletizer Extruder,335866.9,40.98,5.45
74013.54,battery,High-Shear Pelletizer Extruder,59596.51,46.89,4.56
92060.13,paper,Automated Compactor Baler,75506.36,12.11,1.21
774495.87,battery,AI Optical Sorter,725929.27,41.73,7.37
313735.8,metal,High-Shear Pelletizer Extruder,298023.38,18.17,2.95
110635.1,battery,High-Shear Pelletizer Extruder,101196.58,26.53,3.63
576797.11,metal,IoT Weighbridge Scales,499073.74,26.21,5.78
744618.75,metal,Automated Compactor Baler,628627.54,35.67,7.46
195964.44,plastic,High-Shear Pelletizer Extruder,149257.17,36.06,4.37
753144.49,paper,IoT Weighbridge Scales,613421.99,32.5,8.0
569460.08,plastic,Solar Decanter Centrifuge,523717.86,24.85,4.74
78337.23,battery,Automated Compactor Baler,71875.49,36.42,3.62
545399.31,battery,AI Optical Sorter,405633.38,33.47,6.37
614707.17,textile,High-Shear Pelletizer Extruder,567181.94,33.17,6.79
738138.48,plastic,Automated Compactor Baler,610065.1,20.0,5.01
702267.65,battery,Automated Compactor Baler,554261.88,30.46,6.64
556810.07,metal,AI Optical Sorter,425078.48,43.5,7.27
748449.97,metal,Solar Decanter Centrifuge,702236.21,37.3,7.81
81504.33,paper,AI Optical Sorter,66924.69,28.57,2.58
401874.54,battery,IoT Weighbridge Scales,308731.79,12.09,3.35
361783.48,paper,IoT Weighbridge Scales,325494.05,46.03,5.55
743110.96,battery,High-Shear Pelletizer Extruder,684993.87,21.33,6.23
141753.93,plastic,Automated Compactor Baler,115569.92,23.2,3.96
176288.97,plastic,Automated Compactor Baler,156432.08,31.42,3.99
699381.72,metal,Automated Compactor Baler,568132.78,27.2,5.8
131113.07,plastic,IoT Weighbridge Scales,120009.41,41.27,3.97
75052.25,metal,Automated Compactor Baler,53458.35,24.05,4.67
250750.07,paper,IoT Weighbridge Scales,198610.53,13.64,3.16
275170.33,paper,Automated Compactor Baler,220701.87,21.86,3.69
797108.93,textile,AI Optical Sorter,633877.99,27.84,6.63
402676.22,battery,Automated Compactor Baler,292467.96,39.68,6.64
600851.29,battery,High-Shear Pelletizer Extruder,564497.09,33.19,6.84
58285.36,battery,IoT Weighbridge Scales,44771.14,43.5,4.25
600593.41,textile,High-Shear Pelletizer Extruder,515621.01,12.87,5.05
723322.68,battery,Automated Compactor Baler,661971.66,46.31,7.51
661781.95,plastic,Solar Decanter Centrifuge,535928.11,38.86,7.02
203601.14,battery,Solar Decanter Centrifuge,174803.19,12.65,2.75
349356.25,metal,AI Optical Sorter,312294.32,22.37,4.29
292982.08,paper,Solar Decanter Centrifuge,227788.43,44.4,6.31
65163.14,plastic,Automated Compactor Baler,48220.12,12.51,1.15
636567.51,plastic,Solar Decanter Centrifuge,471381.81,38.62,6.13
516038.46,textile,High-Shear Pelletizer Extruder,458872.18,13.71,3.72
769348.2,paper,IoT Weighbridge Scales,540833.41,29.95,7.43
219093.04,battery,Automated Compactor Baler,199557.19,37.85,3.78
757725.25,metal,Automated Compactor Baler,642761.81,25.4,5.74
181024.51,battery,AI Optical Sorter,155401.19,32.49,3.59
336941.62,battery,Automated Compactor Baler,259731.25,35.04,4.54
205059.98,textile,AI Optical Sorter,153214.27,32.49,4.48
