buyer,seller,material,quantity,seller_initial_price,buyer_target_price,final_price,rounds,success
Electro-Recycle,Coimbatore E-Hub,plastic,4589.0,24.75,18.11,21.88,4,1
EcoFibre Ltd,Salem Steel,plastic,9629.0,25.76,16.82,0.0,5,0
Electro-Recycle,Coimbatore E-Hub,paper,1154.0,19.34,13.99,16.51,5,1
Electro-Recycle,Salem Steel,metal,4876.0,118.51,93.36,105.26,3,1
Kovai Paper Mills,Salem Scrap Yard,battery,7010.0,19.25,12.67,0.0,4,0
EcoFibre Ltd,Salem Scrap Yard,plastic,803.0,22.9,16.5,19.22,4,1
Electro-Recycle,Chennai Polymers,metal,5743.0,118.45,82.58,97.11,4,1
Electro-Recycle,Salem Scrap Yard,battery,1820.0,17.19,14.14,15.43,4,1
Tiruppur Textiles,Salem Scrap Yard,metal,1099.0,120.76,85.33,101.16,2,1
Electro-Recycle,Salem Scrap Yard,metal,6708.0,110.09,87.52,94.84,3,1
Electro-Recycle,Salem Steel,plastic,8451.0,23.74,17.49,20.67,3,1
Tiruppur Textiles,Coimbatore E-Hub,paper,2108.0,18.46,12.99,15.78,5,1
EcoFibre Ltd,Salem Scrap Yard,battery,9303.0,18.64,12.08,15.89,2,1
Kovai Paper Mills,Coimbatore E-Hub,battery,9937.0,19.16,12.92,15.83,5,1
Electro-Recycle,Coimbatore E-Hub,metal,6728.0,124.81,86.61,106.02,3,1
Tiruppur Textiles,Salem Scrap Yard,metal,2242.0,116.49,82.74,100.0,5,1
Kovai Paper Mills,Chennai Polymers,paper,5629.0,16.95,12.95,14.73,4,1
Electro-Recycle,Salem Steel,battery,8603.0,18.9,12.58,15.23,3,1
Tiruppur Textiles,Coimbatore E-Hub,metal,8518.0,129.04,91.85,113.17,3,1
Electro-Recycle,Salem Scrap Yard,battery,4818.0,19.39,13.75,0.0,3,0
Electro-Recycle,Salem Scrap Yard,textile,6545.0,17.51,12.21,14.76,2,1
Tiruppur Textiles,Coimbatore E-Hub,textile,9035.0,18.29,14.08,16.84,2,1
Tiruppur Textiles,Coimbatore E-Hub,battery,2503.0,19.0,12.2,15.63,4,1
Kovai Paper Mills,Chennai Polymers,paper,2659.0,17.23,13.45,16.38,2,1
Tiruppur Textiles,Salem Steel,paper,1854.0,16.59,12.09,14.89,5,1
Electro-Recycle,Salem Scrap Yard,plastic,9191.0,24.44,17.33,21.16,2,1
Tiruppur Textiles,Chennai Polymers,metal,649.0,122.64,88.35,104.27,3,1
Tiruppur Textiles,Coimbatore E-Hub,textile,4447.0,18.62,12.09,15.04,5,1
Kovai Paper Mills,Salem Scrap Yard,metal,922.0,110.42,92.88,100.97,5,1
Electro-Recycle,Salem Steel,battery,3212.0,18.91,13.99,16.74,5,1
EcoFibre Ltd,Salem Steel,textile,7593.0,17.7,14.01,17.25,3,1
Tiruppur Textiles,Chennai Polymers,plastic,8377.0,22.68,18.58,20.49,5,1
EcoFibre Ltd,Chennai Polymers,plastic,5511.0,24.96,18.31,22.0,4,1
EcoFibre Ltd,Chennai Polymers,battery,7115.0,16.76,13.94,15.22,3,1
Tiruppur Textiles,Salem Steel,metal,8962.0,112.79,86.28,100.01,5,1
Kovai Paper Mills,Coimbatore E-Hub,battery,5656.0,17.72,12.09,15.36,2,1
Tiruppur Textiles,Salem Scrap Yard,textile,2735.0,18.74,12.49,15.7,2,1
Electro-Recycle,Salem Steel,paper,7971.0,18.75,13.69,0.0,3,0
Electro-Recycle,Chennai Polymers,battery,7122.0,16.6,13.05,0.0,4,0
Electro-Recycle,Chennai Polymers,plastic,6617.0,22.41,16.69,0.0,3,0
Kovai Paper Mills,Chennai Polymers,battery,5942.0,19.23,14.11,16.23,2,1
EcoFibre Ltd,Salem Scrap Yard,textile,6144.0,17.9,13.58,15.07,2,1
Electro-Recycle,Chennai Polymers,plastic,3776.0,24.35,16.69,19.7,2,1
EcoFibre Ltd,Coimbatore E-Hub,metal,1219.0,120.51,90.2,108.95,4,1
Kovai Paper Mills,Coimbatore E-Hub,paper,2656.0,18.47,14.21,15.6,3,1
EcoFibre Ltd,Salem Scrap Yard,plastic,2699.0,24.89,16.19,21.76,4,1
Kovai Paper Mills,Salem Steel,metal,8901.0,129.7,93.34,110.13,3,1
Kovai Paper Mills,Salem Scrap Yard,textile,3023.0,17.8,12.32,15.7,4,1
Tiruppur Textiles,Coimbatore E-Hub,metal,2821.0,119.64,80.64,0.0,3,0
Electro-Recycle,Salem Scrap Yard,metal,2348.0,121.82,81.35,98.28,5,1
Kovai Paper Mills,Salem Steel,paper,8446.0,17.95,13.88,15.7,5,1
Tiruppur Textiles,Coimbatore E-Hub,metal,6590.0,123.54,90.47,105.01,5,1
Electro-Recycle,Coimbatore E-Hub,metal,9855.0,111.33,93.47,104.79,2,1
Kovai Paper Mills,Coimbatore E-Hub,textile,689.0,19.0,12.1,14.78,2,1
Kovai Paper Mills,Salem Steel,paper,8906.0,18.22,12.71,14.73,4,1
Electro-Recycle,Salem Scrap Yard,plastic,3339.0,22.07,16.8,19.49,4,1
EcoFibre Ltd,Salem Steel,textile,5016.0,17.98,13.44,14.96,5,1
EcoFibre Ltd,Salem Scrap Yard,paper,8475.0,18.67,12.07,15.05,4,1
Kovai Paper Mills,Coimbatore E-Hub,paper,2253.0,17.41,14.22,15.78,3,1
Electro-Recycle,Chennai Polymers,paper,9465.0,19.07,12.45,0.0,3,0
Kovai Paper Mills,Chennai Polymers,plastic,3810.0,22.68,16.11,19.74,5,1
Electro-Recycle,Salem Steel,battery,8541.0,18.65,12.25,0.0,3,0
Electro-Recycle,Coimbatore E-Hub,paper,910.0,18.86,14.16,16.35,5,1
Electro-Recycle,Chennai Polymers,textile,2903.0,17.65,12.46,14.56,5,1
Kovai Paper Mills,Salem Steel,plastic,4697.0,23.41,18.01,19.85,4,1
Electro-Recycle,Salem Steel,battery,9328.0,18.85,13.2,15.73,3,1
EcoFibre Ltd,Chennai Polymers,plastic,6675.0,25.83,18.38,22.24,5,1
Kovai Paper Mills,Chennai Polymers,textile,9019.0,19.06,13.3,16.16,3,1
Electro-Recycle,Salem Steel,metal,1768.0,112.13,94.46,99.88,4,1
Kovai Paper Mills,Salem Scrap Yard,metal,4441.0,117.15,93.37,105.98,2,1
EcoFibre Ltd,Salem Steel,paper,7790.0,17.8,13.03,14.99,5,1
Tiruppur Textiles,Salem Steel,plastic,1243.0,24.15,17.32,20.81,3,1
Tiruppur Textiles,Salem Scrap Yard,metal,3466.0,115.5,90.16,0.0,3,0
Electro-Recycle,Coimbatore E-Hub,textile,3555.0,18.64,13.09,0.0,5,0
EcoFibre Ltd,Chennai Polymers,metal,5818.0,123.59,94.67,110.58,2,1
Kovai Paper Mills,Chennai Polymers,metal,3446.0,129.12,93.19,114.17,5,1
EcoFibre Ltd,Chennai Polymers,paper,1661.0,18.07,13.21,15.44,5,1
Electro-Recycle,Salem Steel,battery,2026.0,19.01,12.65,14.98,4,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,568.0,25.24,18.82,20.97,2,1
EcoFibre Ltd,Salem Scrap Yard,paper,4713.0,17.96,13.13,0.0,3,0
Tiruppur Textiles,Coimbatore E-Hub,paper,6671.0,17.38,13.69,15.53,2,1
Kovai Paper Mills,Chennai Polymers,plastic,1687.0,22.85,17.45,19.24,5,1
Kovai Paper Mills,Chennai Polymers,textile,1476.0,17.86,13.17,15.38,2,1
EcoFibre Ltd,Coimbatore E-Hub,metal,7854.0,121.29,93.3,111.22,4,1
Kovai Paper Mills,Coimbatore E-Hub,textile,4790.0,18.28,12.9,15.82,3,1
Kovai Paper Mills,Salem Steel,battery,1705.0,18.44,12.47,15.79,4,1
Electro-Recycle,Chennai Polymers,battery,6921.0,17.45,12.34,14.46,5,1
Electro-Recycle,Salem Steel,battery,4527.0,16.57,13.18,14.53,3,1
Electro-Recycle,Coimbatore E-Hub,plastic,4103.0,23.65,16.04,20.23,2,1
Kovai Paper Mills,Salem Scrap Yard,plastic,1666.0,23.68,18.67,0.0,5,0
Kovai Paper Mills,Coimbatore E-Hub,paper,1555.0,18.55,13.05,0.0,2,0
Kovai Paper Mills,Salem Scrap Yard,paper,3024.0,17.54,12.43,15.05,4,1
EcoFibre Ltd,Salem Steel,plastic,1207.0,23.11,17.65,20.64,4,1
Electro-Recycle,Chennai Polymers,textile,5939.0,17.47,13.15,15.21,5,1
Electro-Recycle,Salem Scrap Yard,textile,1019.0,17.25,13.29,14.93,4,1
Tiruppur Textiles,Salem Steel,metal,2217.0,111.43,94.15,100.36,3,1
Tiruppur Textiles,Coimbatore E-Hub,paper,6755.0,17.54,12.31,14.14,2,1
EcoFibre Ltd,Chennai Polymers,paper,5640.0,17.5,13.33,14.46,5,1
Electro-Recycle,Coimbatore E-Hub,paper,9125.0,18.01,13.73,0.0,4,0
Tiruppur Textiles,Coimbatore E-Hub,metal,2696.0,115.01,93.33,102.51,2,1
Kovai Paper Mills,Salem Steel,metal,4367.0,121.18,88.17,106.63,4,1
EcoFibre Ltd,Chennai Polymers,battery,2402.0,17.86,13.79,0.0,2,0
Kovai Paper Mills,Chennai Polymers,plastic,8564.0,23.91,17.65,20.91,2,1
Electro-Recycle,Salem Steel,paper,5161.0,17.69,12.35,14.4,3,1
Tiruppur Textiles,Salem Scrap Yard,paper,5425.0,17.06,12.49,0.0,2,0
Tiruppur Textiles,Chennai Polymers,battery,3991.0,19.45,13.05,15.53,5,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,5268.0,24.75,16.82,20.61,5,1
EcoFibre Ltd,Salem Steel,paper,6653.0,17.6,13.45,15.62,2,1
Electro-Recycle,Salem Scrap Yard,metal,2138.0,128.07,83.47,109.0,3,1
EcoFibre Ltd,Coimbatore E-Hub,textile,2101.0,17.84,12.8,14.83,4,1
Kovai Paper Mills,Coimbatore E-Hub,paper,6152.0,16.66,13.67,15.66,3,1
Tiruppur Textiles,Salem Steel,battery,1402.0,16.78,12.54,14.59,3,1
Kovai Paper Mills,Chennai Polymers,plastic,5180.0,22.56,18.84,20.5,4,1
Electro-Recycle,Salem Scrap Yard,metal,5707.0,128.03,82.54,105.53,2,1
EcoFibre Ltd,Salem Scrap Yard,paper,5475.0,19.28,12.48,15.41,4,1
Kovai Paper Mills,Salem Steel,battery,7273.0,18.47,13.1,15.85,5,1
Kovai Paper Mills,Salem Scrap Yard,textile,1075.0,19.03,12.22,0.0,3,0
EcoFibre Ltd,Salem Scrap Yard,paper,9162.0,18.25,12.33,15.1,3,1
Tiruppur Textiles,Coimbatore E-Hub,paper,9633.0,17.28,14.07,16.15,3,1
EcoFibre Ltd,Chennai Polymers,textile,7677.0,16.61,13.16,14.78,3,1
Electro-Recycle,Chennai Polymers,paper,3989.0,19.35,12.47,0.0,2,0
EcoFibre Ltd,Salem Steel,battery,8250.0,16.83,12.06,14.84,5,1
EcoFibre Ltd,Coimbatore E-Hub,metal,3029.0,112.29,81.8,93.88,5,1
EcoFibre Ltd,Salem Steel,textile,6812.0,19.05,14.15,16.93,3,1
Tiruppur Textiles,Coimbatore E-Hub,plastic,8452.0,24.4,16.77,20.18,5,1
Kovai Paper Mills,Salem Steel,textile,4613.0,17.93,13.69,14.94,4,1
EcoFibre Ltd,Chennai Polymers,battery,4460.0,19.49,13.09,16.53,3,1
Kovai Paper Mills,Coimbatore E-Hub,textile,6882.0,18.19,13.26,15.97,2,1
Electro-Recycle,Coimbatore E-Hub,paper,7597.0,16.53,13.52,15.2,4,1
Electro-Recycle,Coimbatore E-Hub,textile,1905.0,18.18,12.73,14.24,4,1
Tiruppur Textiles,Coimbatore E-Hub,textile,8215.0,18.32,12.2,14.63,5,1
Tiruppur Textiles,Coimbatore E-Hub,textile,2124.0,16.77,14.04,15.19,5,1
Tiruppur Textiles,Chennai Polymers,metal,7475.0,114.19,84.39,0.0,5,0
EcoFibre Ltd,Chennai Polymers,plastic,7983.0,22.79,18.71,20.27,5,1
Electro-Recycle,Coimbatore E-Hub,battery,4435.0,18.16,12.88,15.43,3,1
Electro-Recycle,Coimbatore E-Hub,textile,4071.0,18.93,14.14,16.95,4,1
Kovai Paper Mills,Coimbatore E-Hub,textile,3274.0,17.45,13.37,15.43,4,1
Tiruppur Textiles,Salem Steel,battery,1367.0,18.51,13.87,16.25,5,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,4254.0,22.94,16.24,20.37,2,1
Tiruppur Textiles,Salem Scrap Yard,metal,5074.0,117.14,82.66,0.0,2,0
Electro-Recycle,Chennai Polymers,battery,6046.0,17.85,13.21,15.92,3,1
Tiruppur Textiles,Chennai Polymers,plastic,6409.0,23.57,18.68,21.77,3,1
Kovai Paper Mills,Salem Scrap Yard,textile,7847.0,17.16,13.41,0.0,2,0
Kovai Paper Mills,Chennai Polymers,paper,8931.0,19.29,13.91,16.55,3,1
Tiruppur Textiles,Salem Scrap Yard,battery,2397.0,17.01,13.89,15.67,4,1
EcoFibre Ltd,Chennai Polymers,paper,8914.0,19.15,14.21,17.35,5,1
Tiruppur Textiles,Salem Scrap Yard,plastic,3045.0,23.95,16.17,20.14,2,1
EcoFibre Ltd,Salem Steel,plastic,3459.0,23.07,17.41,20.64,5,1
EcoFibre Ltd,Salem Steel,battery,5066.0,16.96,12.32,14.27,3,1
Tiruppur Textiles,Salem Steel,paper,7307.0,17.64,13.72,16.63,2,1
Electro-Recycle,Salem Steel,plastic,9026.0,25.55,16.15,20.76,3,1
Kovai Paper Mills,Chennai Polymers,battery,7490.0,19.01,13.45,16.73,2,1
Tiruppur Textiles,Salem Steel,battery,6519.0,18.58,13.59,0.0,2,0
Electro-Recycle,Chennai Polymers,battery,5439.0,16.6,12.84,14.91,2,1
Kovai Paper Mills,Chennai Polymers,textile,701.0,18.16,12.64,15.16,2,1
EcoFibre Ltd,Coimbatore E-Hub,battery,8949.0,19.03,12.44,15.1,4,1
EcoFibre Ltd,Coimbatore E-Hub,metal,7550.0,116.36,84.65,101.61,2,1
EcoFibre Ltd,Salem Scrap Yard,battery,2602.0,16.63,12.9,15.49,3,1
EcoFibre Ltd,Salem Steel,battery,1829.0,17.84,12.21,14.53,5,1
Kovai Paper Mills,Salem Steel,plastic,6710.0,25.52,16.2,21.09,2,1
Tiruppur Textiles,Salem Scrap Yard,battery,1190.0,18.6,12.05,15.29,5,1
Tiruppur Textiles,Salem Scrap Yard,plastic,6574.0,23.25,17.31,20.33,3,1
Kovai Paper Mills,Salem Steel,plastic,6829.0,24.0,16.58,20.96,2,1
Tiruppur Textiles,Salem Scrap Yard,paper,9396.0,17.63,14.05,15.81,2,1
Kovai Paper Mills,Salem Steel,metal,1716.0,124.82,92.55,106.71,3,1
Electro-Recycle,Salem Scrap Yard,paper,9167.0,19.36,12.41,15.96,3,1
EcoFibre Ltd,Chennai Polymers,plastic,1705.0,24.89,18.45,22.45,2,1
Electro-Recycle,Chennai Polymers,paper,3121.0,17.67,13.82,15.26,4,1
Tiruppur Textiles,Chennai Polymers,textile,4402.0,19.17,12.53,15.92,3,1
Tiruppur Textiles,Salem Scrap Yard,metal,7551.0,117.58,87.18,0.0,2,0
Kovai Paper Mills,Chennai Polymers,plastic,6911.0,23.86,16.26,19.97,5,1
Electro-Recycle,Chennai Polymers,plastic,6966.0,22.25,18.71,20.15,2,1
Kovai Paper Mills,Salem Steel,battery,585.0,19.06,14.09,16.48,4,1
EcoFibre Ltd,Salem Scrap Yard,paper,7219.0,19.26,14.23,17.4,3,1
Tiruppur Textiles,Salem Steel,paper,4682.0,18.74,13.51,15.55,3,1
EcoFibre Ltd,Salem Steel,textile,1940.0,17.78,13.74,0.0,4,0
Kovai Paper Mills,Chennai Polymers,paper,8640.0,18.08,12.49,15.01,3,1
EcoFibre Ltd,Salem Scrap Yard,battery,2956.0,19.36,13.66,0.0,3,0
Electro-Recycle,Salem Scrap Yard,textile,9718.0,17.09,12.38,14.21,2,1
Kovai Paper Mills,Coimbatore E-Hub,metal,2333.0,128.22,85.98,114.31,3,1
EcoFibre Ltd,Coimbatore E-Hub,paper,4180.0,17.12,12.89,15.51,2,1
Tiruppur Textiles,Salem Steel,battery,3060.0,18.21,13.48,16.57,3,1
EcoFibre Ltd,Coimbatore E-Hub,metal,3011.0,126.02,83.97,106.91,4,1
Electro-Recycle,Coimbatore E-Hub,paper,7082.0,18.71,12.61,0.0,2,0
EcoFibre Ltd,Chennai Polymers,paper,5309.0,17.79,13.2,15.64,4,1
Tiruppur Textiles,Salem Scrap Yard,paper,8448.0,18.33,13.97,16.07,5,1
Tiruppur Textiles,Salem Scrap Yard,paper,1708.0,16.84,13.1,15.13,5,1
EcoFibre Ltd,Coimbatore E-Hub,metal,4618.0,127.99,82.49,0.0,5,0
EcoFibre Ltd,Coimbatore E-Hub,textile,8228.0,19.32,13.82,16.35,5,1
Tiruppur Textiles,Chennai Polymers,plastic,6907.0,25.35,16.6,21.28,3,1
Tiruppur Textiles,Coimbatore E-Hub,paper,2399.0,17.23,12.85,14.75,5,1
Tiruppur Textiles,Salem Scrap Yard,paper,8775.0,18.05,12.32,15.04,2,1
Electro-Recycle,Salem Steel,battery,8558.0,17.71,13.46,14.56,4,1
Tiruppur Textiles,Salem Steel,metal,8957.0,116.41,92.3,105.83,4,1
Electro-Recycle,Salem Steel,textile,7595.0,17.37,13.38,16.03,3,1
EcoFibre Ltd,Salem Steel,battery,7950.0,18.32,12.27,15.41,3,1
Tiruppur Textiles,Chennai Polymers,battery,3430.0,16.86,12.92,14.03,4,1
Electro-Recycle,Coimbatore E-Hub,textile,1447.0,19.33,12.22,15.06,3,1
Kovai Paper Mills,Salem Scrap Yard,paper,7216.0,18.46,12.39,15.51,3,1
Tiruppur Textiles,Coimbatore E-Hub,plastic,6497.0,25.69,16.15,21.2,4,1
Electro-Recycle,Coimbatore E-Hub,paper,2829.0,17.05,12.81,14.7,3,1
EcoFibre Ltd,Chennai Polymers,metal,9857.0,124.25,93.77,101.99,5,1
Electro-Recycle,Chennai Polymers,battery,2774.0,16.79,12.09,15.02,2,1
Electro-Recycle,Salem Steel,plastic,4022.0,25.94,17.96,21.85,4,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,7089.0,25.54,18.0,22.14,3,1
EcoFibre Ltd,Chennai Polymers,textile,7815.0,16.75,13.74,15.38,3,1
Electro-Recycle,Salem Steel,plastic,4745.0,25.77,17.54,21.82,4,1
Electro-Recycle,Salem Scrap Yard,paper,6268.0,17.25,12.75,14.61,3,1
Electro-Recycle,Salem Scrap Yard,metal,684.0,114.0,92.17,0.0,4,0
EcoFibre Ltd,Coimbatore E-Hub,plastic,6461.0,25.28,16.53,20.6,4,1
EcoFibre Ltd,Coimbatore E-Hub,paper,6537.0,17.2,12.26,0.0,5,0
Tiruppur Textiles,Salem Steel,metal,5673.0,128.71,80.97,103.15,4,1
Tiruppur Textiles,Salem Steel,paper,6367.0,17.32,12.67,14.27,2,1
Kovai Paper Mills,Salem Steel,paper,3380.0,17.24,13.55,15.58,4,1
Electro-Recycle,Chennai Polymers,textile,1984.0,18.76,12.15,15.37,5,1
Electro-Recycle,Chennai Polymers,battery,1137.0,16.6,12.63,13.95,5,1
EcoFibre Ltd,Chennai Polymers,metal,1899.0,118.01,82.08,99.0,2,1
Electro-Recycle,Chennai Polymers,metal,3238.0,129.71,88.82,107.26,5,1
Kovai Paper Mills,Salem Steel,paper,3685.0,19.28,13.97,16.05,3,1
EcoFibre Ltd,Coimbatore E-Hub,metal,635.0,118.38,90.24,100.81,5,1
Tiruppur Textiles,Salem Scrap Yard,plastic,8068.0,23.53,16.86,19.64,2,1
Electro-Recycle,Coimbatore E-Hub,plastic,8794.0,24.25,17.78,20.23,4,1
Tiruppur Textiles,Chennai Polymers,metal,9573.0,112.49,87.95,97.25,3,1
Kovai Paper Mills,Salem Scrap Yard,metal,6087.0,113.92,81.96,96.97,2,1
Electro-Recycle,Chennai Polymers,paper,1812.0,19.37,13.04,16.18,4,1
Electro-Recycle,Salem Steel,textile,9226.0,18.23,13.85,15.97,2,1
Tiruppur Textiles,Chennai Polymers,battery,4951.0,17.74,13.24,0.0,2,0
Electro-Recycle,Chennai Polymers,battery,5203.0,17.37,13.11,14.79,3,1
Tiruppur Textiles,Chennai Polymers,plastic,1605.0,23.48,16.52,20.32,5,1
Tiruppur Textiles,Chennai Polymers,battery,8477.0,17.35,12.47,14.75,3,1
EcoFibre Ltd,Salem Steel,paper,5473.0,16.65,12.39,14.33,5,1
EcoFibre Ltd,Salem Steel,metal,2615.0,120.76,80.89,98.71,3,1
EcoFibre Ltd,Salem Steel,metal,8273.0,114.43,86.65,98.24,3,1
Electro-Recycle,Salem Steel,metal,7171.0,110.1,94.0,104.67,2,1
EcoFibre Ltd,Chennai Polymers,textile,7783.0,16.7,13.38,0.0,4,0
Tiruppur Textiles,Chennai Polymers,textile,9107.0,17.49,14.21,16.29,3,1
Tiruppur Textiles,Salem Steel,battery,9762.0,18.04,13.85,16.4,2,1
Electro-Recycle,Salem Scrap Yard,plastic,9514.0,22.9,18.18,0.0,2,0
Tiruppur Textiles,Coimbatore E-Hub,metal,7390.0,120.44,85.7,102.7,3,1
EcoFibre Ltd,Salem Steel,plastic,6540.0,25.95,18.38,21.96,2,1
EcoFibre Ltd,Coimbatore E-Hub,metal,557.0,121.43,80.11,104.68,4,1
Electro-Recycle,Salem Scrap Yard,textile,1931.0,17.88,12.47,15.74,4,1
Kovai Paper Mills,Salem Scrap Yard,plastic,4885.0,23.53,18.43,19.9,3,1
Tiruppur Textiles,Coimbatore E-Hub,paper,6785.0,18.71,12.08,0.0,4,0
Electro-Recycle,Coimbatore E-Hub,paper,3498.0,18.79,13.7,17.28,2,1
Tiruppur Textiles,Coimbatore E-Hub,textile,4976.0,17.02,14.22,15.83,3,1
Tiruppur Textiles,Salem Scrap Yard,plastic,7355.0,22.49,16.84,0.0,4,0
Electro-Recycle,Coimbatore E-Hub,paper,1193.0,17.47,12.49,0.0,5,0
EcoFibre Ltd,Coimbatore E-Hub,paper,9304.0,17.03,12.6,14.86,3,1
Tiruppur Textiles,Chennai Polymers,textile,5187.0,17.37,12.32,0.0,3,0
Tiruppur Textiles,Salem Steel,paper,4125.0,18.95,13.96,0.0,4,0
Tiruppur Textiles,Coimbatore E-Hub,battery,1398.0,19.06,13.45,16.47,4,1
Electro-Recycle,Chennai Polymers,plastic,6672.0,24.65,17.29,21.22,4,1
Kovai Paper Mills,Salem Steel,battery,9003.0,17.9,13.06,0.0,3,0
Tiruppur Textiles,Chennai Polymers,plastic,1763.0,25.85,18.43,0.0,5,0
EcoFibre Ltd,Chennai Polymers,textile,6733.0,17.82,13.68,15.31,4,1
Tiruppur Textiles,Chennai Polymers,metal,2913.0,112.23,90.29,98.8,2,1
Tiruppur Textiles,Salem Steel,plastic,8072.0,25.58,18.89,21.96,5,1
EcoFibre Ltd,Salem Scrap Yard,plastic,7276.0,23.42,18.66,0.0,3,0
Kovai Paper Mills,Salem Scrap Yard,battery,9766.0,16.67,12.97,15.0,3,1
EcoFibre Ltd,Salem Scrap Yard,paper,7507.0,16.98,12.03,0.0,2,0
EcoFibre Ltd,Salem Steel,textile,2312.0,18.46,13.92,16.69,3,1
Kovai Paper Mills,Salem Steel,paper,6573.0,17.25,12.41,14.59,3,1
Tiruppur Textiles,Salem Scrap Yard,textile,5224.0,17.44,14.05,15.73,4,1
EcoFibre Ltd,Coimbatore E-Hub,textile,5454.0,18.38,14.24,17.13,5,1
EcoFibre Ltd,Coimbatore E-Hub,battery,1267.0,18.81,12.51,15.81,3,1
Electro-Recycle,Salem Steel,textile,9757.0,17.37,13.55,15.55,2,1
Electro-Recycle,Salem Scrap Yard,paper,3517.0,18.44,12.29,15.34,5,1
Tiruppur Textiles,Coimbatore E-Hub,textile,4296.0,18.35,13.29,0.0,2,0
EcoFibre Ltd,Salem Steel,battery,3597.0,16.75,13.85,0.0,3,0
Kovai Paper Mills,Chennai Polymers,paper,8892.0,18.17,12.24,0.0,2,0
EcoFibre Ltd,Coimbatore E-Hub,plastic,5104.0,24.66,18.35,21.95,3,1
Kovai Paper Mills,Coimbatore E-Hub,plastic,5158.0,24.76,16.14,19.87,3,1
EcoFibre Ltd,Chennai Polymers,paper,2426.0,18.71,12.2,14.67,4,1
Electro-Recycle,Chennai Polymers,paper,5522.0,18.3,12.42,16.15,3,1
EcoFibre Ltd,Salem Scrap Yard,plastic,9216.0,23.09,18.23,21.12,3,1
Electro-Recycle,Coimbatore E-Hub,textile,2651.0,19.22,13.61,16.75,5,1
Tiruppur Textiles,Salem Steel,metal,2455.0,124.15,82.03,108.15,3,1
Tiruppur Textiles,Salem Scrap Yard,paper,9599.0,17.28,12.73,15.13,4,1
Electro-Recycle,Coimbatore E-Hub,metal,666.0,116.79,89.52,102.61,4,1
EcoFibre Ltd,Salem Scrap Yard,metal,9816.0,125.93,92.92,108.03,5,1
Tiruppur Textiles,Salem Scrap Yard,textile,7788.0,17.23,13.34,15.67,5,1
Electro-Recycle,Salem Scrap Yard,paper,4219.0,19.22,12.53,16.02,3,1
EcoFibre Ltd,Chennai Polymers,paper,8799.0,16.81,13.35,15.15,5,1
Kovai Paper Mills,Salem Scrap Yard,textile,6259.0,17.65,12.0,15.23,5,1
EcoFibre Ltd,Chennai Polymers,metal,4029.0,112.48,81.2,99.34,3,1
Electro-Recycle,Chennai Polymers,paper,2187.0,17.43,14.06,15.05,4,1
Electro-Recycle,Salem Scrap Yard,plastic,7167.0,23.43,18.25,20.46,4,1
Tiruppur Textiles,Coimbatore E-Hub,metal,7747.0,118.64,80.85,0.0,3,0
Tiruppur Textiles,Salem Steel,textile,594.0,16.96,13.08,15.25,2,1
Electro-Recycle,Salem Steel,metal,7553.0,112.67,87.85,101.4,4,1
Tiruppur Textiles,Salem Steel,battery,3586.0,16.91,13.9,16.16,3,1
Tiruppur Textiles,Salem Scrap Yard,paper,6387.0,16.64,14.14,16.0,2,1
Kovai Paper Mills,Coimbatore E-Hub,battery,1541.0,17.3,13.33,15.48,2,1
Tiruppur Textiles,Salem Steel,metal,9472.0,121.28,86.04,103.94,5,1
Electro-Recycle,Coimbatore E-Hub,plastic,5543.0,24.86,17.56,21.45,2,1
Tiruppur Textiles,Coimbatore E-Hub,textile,9374.0,19.04,12.91,16.22,2,1
Kovai Paper Mills,Chennai Polymers,battery,9661.0,18.59,13.58,16.29,3,1
Tiruppur Textiles,Salem Scrap Yard,paper,701.0,19.12,12.74,15.38,4,1
EcoFibre Ltd,Chennai Polymers,metal,554.0,110.43,91.77,100.52,4,1
Tiruppur Textiles,Salem Steel,paper,5771.0,17.31,12.28,14.98,5,1
EcoFibre Ltd,Salem Scrap Yard,battery,6331.0,17.01,13.64,15.1,4,1
Electro-Recycle,Salem Scrap Yard,metal,5707.0,113.37,80.25,97.6,4,1
EcoFibre Ltd,Salem Steel,metal,9823.0,125.8,80.59,106.66,2,1
EcoFibre Ltd,Salem Scrap Yard,battery,9061.0,16.95,13.14,15.27,5,1
Tiruppur Textiles,Salem Steel,textile,5551.0,17.51,12.28,14.95,3,1
Kovai Paper Mills,Salem Steel,battery,8199.0,17.88,12.14,15.05,4,1
Kovai Paper Mills,Salem Steel,paper,8809.0,17.82,13.41,16.02,4,1
Electro-Recycle,Salem Steel,plastic,2797.0,22.49,16.11,18.6,5,1
Tiruppur Textiles,Salem Steel,paper,2425.0,19.32,14.07,16.28,3,1
Tiruppur Textiles,Chennai Polymers,battery,8937.0,19.01,13.3,15.08,5,1
Electro-Recycle,Salem Steel,plastic,9451.0,24.18,17.95,20.69,3,1
EcoFibre Ltd,Chennai Polymers,textile,8997.0,16.77,12.36,0.0,2,0
Electro-Recycle,Coimbatore E-Hub,metal,891.0,118.06,80.04,97.96,5,1
Electro-Recycle,Chennai Polymers,battery,4226.0,19.21,14.04,17.7,4,1
