plant,workers,shift,attendance_rate,overtime_hours,downtime_hours,productivity
Chennai Extrusion Center,61,Night,0.76,5.4,0.9,58.5
Tiruppur Weaving Plant,144,Night,0.97,2.3,0.8,86.3
Salem Compressed Scrap,86,Morning,0.79,8.3,2.7,59.5
Salem Compressed Scrap,125,Afternoon,0.85,5.0,1.0,62.5
Salem Compressed Scrap,25,Afternoon,0.71,5.2,1.3,65.8
Salem Compressed Scrap,149,Morning,0.78,3.9,0.5,75.3
Salem Compressed Scrap,82,Morning,0.98,4.5,2.7,72.1
Chennai Extrusion Center,84,Night,0.93,1.7,1.4,69.7
Salem Compressed Scrap,16,Morning,0.94,7.9,1.5,69.5
Tiruppur Weaving Plant,56,Night,0.91,7.0,1.4,73.5
Tiruppur Weaving Plant,110,Afternoon,0.83,8.6,0.9,74.2
Salem Compressed Scrap,31,Morning,0.74,6.9,2.9,51.3
Chennai Extrusion Center,28,Night,0.83,1.9,1.7,61.3
Tiruppur Weaving Plant,37,Night,0.97,2.0,3.3,65.3
Salem Compressed Scrap,129,Morning,0.95,2.0,2.3,69.4
Tiruppur Weaving Plant,35,Night,0.73,8.7,1.1,56.3
Coimbatore Sorting Hub,22,Morning,0.97,1.9,1.3,72.0
Coimbatore Sorting Hub,27,Morning,0.7,4.2,0.5,62.0
Coimbatore Sorting Hub,43,Morning,0.85,0.3,0.3,66.6
Salem Compressed Scrap,99,Night,0.79,9.2,1.3,60.6
Tiruppur Weaving Plant,73,Morning,0.85,6.7,2.4,67.3
Salem Compressed Scrap,46,Night,0.86,5.1,1.1,69.5
Coimbatore Sorting Hub,84,Afternoon,0.87,9.1,1.5,73.9
Coimbatore Sorting Hub,63,Morning,0.91,3.6,1.0,85.2
Chennai Extrusion Center,103,Morning,0.83,6.7,1.7,65.9
Coimbatore Sorting Hub,33,Night,0.97,8.4,2.4,73.7
Salem Compressed Scrap,129,Night,0.98,6.1,0.6,70.5
Coimbatore Sorting Hub,76,Morning,0.9,8.4,1.0,76.5
Salem Compressed Scrap,73,Afternoon,0.71,5.6,2.2,54.2
Tiruppur Weaving Plant,22,Afternoon,0.74,3.3,1.8,60.5
Salem Compressed Scrap,120,Morning,0.94,7.7,2.7,85.0
Tiruppur Weaving Plant,138,Night,0.87,2.4,1.6,70.9
Chennai Extrusion Center,63,Afternoon,0.78,5.0,3.0,59.2
Tiruppur Weaving Plant,109,Afternoon,0.76,2.2,1.0,60.8
Tiruppur Weaving Plant,42,Night,0.75,9.8,1.9,72.7
Salem Compressed Scrap,129,Morning,0.91,8.3,2.5,69.7
Salem Compressed Scrap,107,Afternoon,0.73,5.4,1.3,60.9
Coimbatore Sorting Hub,41,Afternoon,0.81,6.5,3.8,58.6
Salem Compressed Scrap,28,Afternoon,0.79,6.9,0.0,72.0
Chennai Extrusion Center,95,Night,0.87,1.4,1.8,65.7
Chennai Extrusion Center,109,Night,0.86,0.5,3.0,47.5
Salem Compressed Scrap,77,Night,0.84,8.7,0.6,76.9
Salem Compressed Scrap,27,Afternoon,0.93,7.0,1.9,62.5
Tiruppur Weaving Plant,37,Night,0.72,6.8,1.4,53.5
Coimbatore Sorting Hub,97,Afternoon,0.72,3.9,2.7,45.0
Coimbatore Sorting Hub,17,Afternoon,0.77,1.0,3.2,51.3
Salem Compressed Scrap,27,Night,0.89,4.6,1.6,64.5
Tiruppur Weaving Plant,97,Night,0.98,9.6,3.4,72.0
Coimbatore Sorting Hub,140,Morning,0.72,4.2,2.3,49.2
Coimbatore Sorting Hub,148,Afternoon,0.72,4.8,1.9,55.4
Coimbatore Sorting Hub,102,Morning,0.97,0.6,2.4,69.7
Tiruppur Weaving Plant,19,Afternoon,0.73,4.4,1.4,60.2
Coimbatore Sorting Hub,44,Night,0.96,3.4,1.1,71.3
Salem Compressed Scrap,145,Night,0.93,1.1,0.1,74.3
Chennai Extrusion Center,11,Afternoon,0.73,1.2,3.7,39.8
Salem Compressed Scrap,100,Morning,0.91,7.6,3.8,63.6
Chennai Extrusion Center,99,Night,0.85,6.8,1.0,66.9
Tiruppur Weaving Plant,62,Afternoon,0.9,3.2,2.9,59.4
Chennai Extrusion Center,77,Night,0.87,7.9,0.7,72.3
Salem Compressed Scrap,77,Night,0.79,9.5,2.9,50.8
Chennai Extrusion Center,45,Morning,0.75,7.7,2.1,51.9
Tiruppur Weaving Plant,75,Night,0.75,7.7,2.9,42.8
Chennai Extrusion Center,134,Morning,0.81,8.2,3.7,57.4
Salem Compressed Scrap,96,Afternoon,0.73,0.1,0.1,54.4
Salem Compressed Scrap,114,Morning,1.0,1.8,2.2,72.3
Salem Compressed Scrap,148,Night,0.96,2.8,3.2,63.5
Chennai Extrusion Center,45,Afternoon,0.82,8.7,3.8,49.8
Chennai Extrusion Center,18,Night,0.84,9.7,0.8,60.0
Chennai Extrusion Center,105,Night,0.98,4.6,0.4,89.3
Coimbatore Sorting Hub,51,Morning,0.87,4.4,0.1,75.7
Chennai Extrusion Center,42,Night,0.91,4.2,0.3,78.9
Tiruppur Weaving Plant,99,Morning,0.81,1.5,1.3,54.1
Tiruppur Weaving Plant,107,Afternoon,0.93,1.8,3.2,68.1
Chennai Extrusion Center,109,Night,0.85,6.5,3.4,57.2
Tiruppur Weaving Plant,23,Afternoon,0.92,8.0,1.6,75.5
Salem Compressed Scrap,88,Night,0.93,3.8,1.9,79.1
Chennai Extrusion Center,19,Morning,0.98,8.5,3.7,63.0
Chennai Extrusion Center,42,Afternoon,0.73,7.4,1.6,58.9
Salem Compressed Scrap,10,Morning,0.95,7.0,2.8,69.6
Chennai Extrusion Center,45,Morning,0.72,9.6,1.4,55.5
Salem Compressed Scrap,50,Morning,0.96,1.6,2.2,76.2
Salem Compressed Scrap,57,Afternoon,0.72,9.9,2.8,53.0
Chennai Extrusion Center,98,Morning,0.81,4.1,1.9,59.5
Tiruppur Weaving Plant,45,Afternoon,0.72,8.9,0.9,70.0
Tiruppur Weaving Plant,149,Morning,0.78,3.4,2.6,58.9
Tiruppur Weaving Plant,42,Night,0.91,5.3,3.3,58.7
Salem Compressed Scrap,35,Afternoon,0.71,1.5,0.6,57.8
Tiruppur Weaving Plant,112,Night,0.87,2.3,2.5,62.3
Tiruppur Weaving Plant,115,Afternoon,0.93,6.0,3.7,61.3
Coimbatore Sorting Hub,66,Afternoon,0.86,4.8,2.7,62.8
Chennai Extrusion Center,23,Morning,0.96,4.5,0.0,83.4
Tiruppur Weaving Plant,113,Morning,0.84,7.9,1.1,71.3
Tiruppur Weaving Plant,147,Night,0.92,8.3,0.8,82.3
Tiruppur Weaving Plant,37,Morning,0.91,5.8,3.6,64.7
Coimbatore Sorting Hub,113,Morning,0.89,5.2,1.3,75.4
Salem Compressed Scrap,27,Night,0.79,2.3,1.6,59.4
Chennai Extrusion Center,76,Morning,0.85,7.9,2.6,69.8
Salem Compressed Scrap,144,Night,0.79,3.2,1.2,63.7
Tiruppur Weaving Plant,88,Afternoon,0.71,1.0,1.4,61.5
Chennai Extrusion Center,45,Afternoon,0.84,3.6,1.3,61.6
Tiruppur Weaving Plant,48,Afternoon,0.75,0.8,2.7,54.1
Coimbatore Sorting Hub,57,Afternoon,0.88,9.8,2.4,65.1
Tiruppur Weaving Plant,25,Night,0.71,7.0,0.1,71.3
Salem Compressed Scrap,93,Morning,0.84,3.4,1.9,60.2
Coimbatore Sorting Hub,19,Morning,0.87,1.7,3.6,47.8
Coimbatore Sorting Hub,81,Morning,0.77,9.2,2.8,51.9
Salem Compressed Scrap,32,Morning,0.95,6.4,3.6,71.8
Coimbatore Sorting Hub,25,Night,0.94,5.6,0.3,82.3
Tiruppur Weaving Plant,60,Afternoon,0.86,9.5,0.7,84.2
Coimbatore Sorting Hub,66,Afternoon,0.88,7.2,2.9,65.3
Salem Compressed Scrap,72,Night,0.86,7.1,1.4,70.5
Salem Compressed Scrap,71,Night,0.84,1.9,1.2,60.1
Chennai Extrusion Center,90,Night,0.91,3.6,3.8,69.3
Coimbatore Sorting Hub,122,Morning,0.89,2.3,2.2,67.9
Salem Compressed Scrap,98,Night,0.97,7.2,1.9,77.5
Coimbatore Sorting Hub,17,Afternoon,0.81,4.6,2.4,63.7
Chennai Extrusion Center,62,Afternoon,0.91,5.3,2.1,67.5
Chennai Extrusion Center,117,Morning,0.84,2.1,0.8,68.6
Chennai Extrusion Center,129,Afternoon,0.79,7.0,2.4,51.8
Salem Compressed Scrap,37,Night,0.92,6.7,2.6,68.1
Tiruppur Weaving Plant,74,Night,0.98,9.0,3.7,75.1
Salem Compressed Scrap,142,Afternoon,0.85,1.9,3.7,49.4
Chennai Extrusion Center,100,Afternoon,0.84,8.7,2.3,64.3
Tiruppur Weaving Plant,12,Night,0.9,9.6,0.4,74.9
Salem Compressed Scrap,51,Morning,0.82,2.1,2.2,59.3
Coimbatore Sorting Hub,106,Morning,0.84,0.8,0.1,68.0
Coimbatore Sorting Hub,139,Night,0.79,1.3,3.4,51.4
Salem Compressed Scrap,36,Afternoon,0.84,8.0,0.4,81.5
Coimbatore Sorting Hub,104,Morning,0.9,5.5,2.3,69.4
Salem Compressed Scrap,66,Afternoon,0.87,10.0,3.9,47.3
Chennai Extrusion Center,66,Afternoon,0.78,9.3,2.0,69.9
Chennai Extrusion Center,121,Morning,0.88,8.8,3.5,60.0
Tiruppur Weaving Plant,63,Morning,0.85,1.9,3.4,50.8
Salem Compressed Scrap,111,Night,0.95,7.5,1.8,79.1
Coimbatore Sorting Hub,58,Night,0.87,6.0,2.6,63.0
Tiruppur Weaving Plant,34,Night,0.71,7.7,3.3,43.9
Tiruppur Weaving Plant,142,Night,0.99,2.4,1.5,75.1
Tiruppur Weaving Plant,12,Afternoon,0.85,3.8,2.8,60.5
Coimbatore Sorting Hub,19,Night,0.72,6.2,2.7,56.3
Coimbatore Sorting Hub,90,Morning,0.97,8.1,1.2,83.9
Tiruppur Weaving Plant,92,Night,0.7,7.6,3.0,48.2
Salem Compressed Scrap,22,Night,0.75,2.9,2.5,59.8
Coimbatore Sorting Hub,85,Afternoon,0.79,5.9,2.4,58.4
Coimbatore Sorting Hub,36,Afternoon,0.89,5.0,1.2,70.2
Chennai Extrusion Center,63,Afternoon,0.83,4.2,0.2,66.5
Chennai Extrusion Center,132,Morning,0.77,0.3,3.2,51.6
Salem Compressed Scrap,70,Morning,0.93,3.6,3.0,78.2
Coimbatore Sorting Hub,103,Afternoon,0.77,8.8,2.2,56.0
Salem Compressed Scrap,12,Night,0.71,4.1,0.7,62.1
Coimbatore Sorting Hub,17,Night,0.81,5.1,1.5,68.2
Chennai Extrusion Center,11,Morning,0.8,1.8,2.2,54.1
Chennai Extrusion Center,113,Night,0.84,7.8,2.6,61.6
Salem Compressed Scrap,84,Morning,0.9,9.6,0.6,74.5
Salem Compressed Scrap,20,Night,0.97,6.9,1.4,79.6
Salem Compressed Scrap,16,Afternoon,0.89,6.2,2.2,70.9
Salem Compressed Scrap,63,Night,0.93,0.5,2.9,63.7
Chennai Extrusion Center,131,Night,0.71,10.0,0.4,65.8
Salem Compressed Scrap,147,Night,0.82,6.5,1.7,59.4
Coimbatore Sorting Hub,90,Night,0.94,4.6,0.8,71.7
Chennai Extrusion Center,130,Morning,0.76,3.7,3.5,39.8
Coimbatore Sorting Hub,15,Afternoon,0.91,0.3,2.8,63.3
Salem Compressed Scrap,34,Afternoon,0.77,1.1,0.2,72.5
Tiruppur Weaving Plant,27,Afternoon,0.98,0.6,0.8,83.6
Coimbatore Sorting Hub,97,Afternoon,0.96,1.3,3.3,67.5
Tiruppur Weaving Plant,48,Afternoon,0.72,7.3,1.2,64.6
Tiruppur Weaving Plant,46,Night,0.87,9.0,2.0,71.1
Chennai Extrusion Center,53,Morning,0.71,5.9,2.9,49.2
Coimbatore Sorting Hub,58,Afternoon,0.87,4.9,1.6,64.5
Coimbatore Sorting Hub,46,Morning,0.84,0.2,2.0,54.0
Coimbatore Sorting Hub,51,Afternoon,0.94,0.9,0.7,76.6
Tiruppur Weaving Plant,115,Afternoon,0.97,8.7,1.8,79.3
Coimbatore Sorting Hub,36,Afternoon,0.84,9.1,0.7,61.5
Chennai Extrusion Center,125,Morning,0.8,4.9,1.7,62.2
Chennai Extrusion Center,42,Morning,0.8,5.6,2.4,67.2
Tiruppur Weaving Plant,97,Afternoon,0.9,8.9,0.2,79.1
Tiruppur Weaving Plant,115,Afternoon,0.81,6.3,2.0,54.9
Salem Compressed Scrap,42,Afternoon,0.98,7.6,3.2,73.9
Tiruppur Weaving Plant,111,Night,0.71,4.4,0.4,67.2
Tiruppur Weaving Plant,54,Night,0.77,4.2,0.1,74.3
Tiruppur Weaving Plant,118,Morning,0.96,3.3,1.5,75.0
Coimbatore Sorting Hub,99,Night,0.74,2.6,3.9,43.3
Tiruppur Weaving Plant,93,Morning,0.78,8.8,1.7,63.8
Coimbatore Sorting Hub,63,Afternoon,0.86,2.4,2.7,52.9
Salem Compressed Scrap,119,Morning,0.98,1.2,1.3,73.1
Coimbatore Sorting Hub,63,Afternoon,0.72,9.8,3.7,44.9
Tiruppur Weaving Plant,139,Afternoon,0.76,2.2,1.8,52.5
Coimbatore Sorting Hub,100,Night,0.77,5.8,1.5,64.5
Coimbatore Sorting Hub,117,Night,0.98,2.9,1.3,78.5
Tiruppur Weaving Plant,47,Morning,0.96,8.9,2.6,69.2
Tiruppur Weaving Plant,136,Afternoon,0.99,3.2,3.0,82.6
Chennai Extrusion Center,94,Afternoon,0.95,9.5,0.4,85.6
Chennai Extrusion Center,12,Morning,0.92,7.5,3.6,60.3
Salem Compressed Scrap,40,Morning,0.76,0.8,3.2,48.7
Coimbatore Sorting Hub,103,Morning,0.88,6.7,1.2,60.4
Tiruppur Weaving Plant,70,Morning,0.94,9.9,3.9,58.7
Chennai Extrusion Center,75,Afternoon,0.87,0.1,2.6,67.3
Chennai Extrusion Center,140,Morning,0.77,9.6,0.3,74.8
Salem Compressed Scrap,97,Morning,0.95,9.7,1.5,77.6
Salem Compressed Scrap,78,Morning,0.71,2.6,2.8,41.8
Chennai Extrusion Center,45,Afternoon,0.93,5.3,2.5,71.6
Chennai Extrusion Center,134,Morning,1.0,3.6,3.3,72.1
Salem Compressed Scrap,42,Afternoon,0.99,4.4,2.2,77.7
Chennai Extrusion Center,124,Night,0.87,9.6,3.5,61.3
Salem Compressed Scrap,110,Night,0.87,6.4,1.7,66.6
Salem Compressed Scrap,19,Night,0.77,9.9,3.0,58.3
Tiruppur Weaving Plant,38,Afternoon,0.96,6.5,3.8,68.8
Salem Compressed Scrap,20,Afternoon,0.96,9.8,2.0,68.1
Chennai Extrusion Center,71,Night,0.96,6.5,0.2,81.2
Tiruppur Weaving Plant,39,Afternoon,0.94,0.5,0.6,77.0
Salem Compressed Scrap,64,Night,0.8,10.0,3.3,49.2
Salem Compressed Scrap,73,Morning,0.9,2.4,1.5,65.2
Salem Compressed Scrap,29,Morning,0.81,9.1,1.8,64.8
Salem Compressed Scrap,22,Morning,0.84,1.1,2.7,58.2
Chennai Extrusion Center,83,Morning,0.73,4.5,0.8,55.5
Salem Compressed Scrap,18,Morning,0.81,8.9,3.9,52.3
Chennai Extrusion Center,91,Morning,0.79,5.8,1.8,58.6
Chennai Extrusion Center,115,Morning,0.86,6.0,2.4,62.6
Chennai Extrusion Center,99,Afternoon,0.95,6.4,0.9,85.0
Salem Compressed Scrap,30,Morning,0.78,2.2,3.3,48.9
Salem Compressed Scrap,15,Night,0.87,4.5,2.3,65.5
Salem Compressed Scrap,131,Afternoon,0.78,1.4,2.7,52.8
Chennai Extrusion Center,17,Afternoon,0.9,6.5,2.2,77.1
Salem Compressed Scrap,84,Morning,0.8,5.8,3.5,54.9
Coimbatore Sorting Hub,81,Afternoon,0.87,1.8,2.4,57.9
Coimbatore Sorting Hub,50,Morning,0.86,2.4,3.6,52.7
Salem Compressed Scrap,72,Night,0.74,7.2,3.9,47.9
Coimbatore Sorting Hub,122,Morning,0.75,4.3,1.4,60.5
Coimbatore Sorting Hub,35,Night,0.95,1.5,0.2,75.4
Coimbatore Sorting Hub,61,Night,0.91,6.4,3.5,67.4
Chennai Extrusion Center,83,Afternoon,0.88,3.0,0.8,60.8
Salem Compressed Scrap,24,Morning,0.96,3.2,2.4,78.6
Chennai Extrusion Center,91,Morning,0.91,0.1,1.3,76.4
Chennai Extrusion Center,32,Night,0.91,6.6,2.4,63.5
Coimbatore Sorting Hub,95,Night,0.99,5.8,2.7,66.9
Salem Compressed Scrap,34,Night,0.89,7.9,0.7,67.6
Salem Compressed Scrap,142,Night,0.97,5.5,2.5,73.3
Chennai Extrusion Center,78,Afternoon,0.75,6.5,4.0,49.4
Coimbatore Sorting Hub,84,Night,0.71,3.2,0.8,59.3
Tiruppur Weaving Plant,41,Morning,0.73,2.5,2.7,51.5
Tiruppur Weaving Plant,123,Morning,0.82,3.4,2.5,49.8
Salem Compressed Scrap,67,Morning,0.94,8.6,3.4,69.9
Chennai Extrusion Center,122,Afternoon,0.9,3.2,0.2,74.9
Salem Compressed Scrap,45,Afternoon,0.97,9.6,3.1,71.1
Coimbatore Sorting Hub,32,Afternoon,0.76,0.1,2.8,57.0
Salem Compressed Scrap,142,Morning,0.88,3.0,3.6,61.9
Salem Compressed Scrap,62,Afternoon,0.7,6.2,1.6,62.4
Salem Compressed Scrap,134,Afternoon,0.74,0.8,3.0,46.8
Tiruppur Weaving Plant,85,Afternoon,0.99,0.6,2.3,78.0
Chennai Extrusion Center,122,Afternoon,0.96,3.7,0.1,80.4
Coimbatore Sorting Hub,106,Night,0.78,4.3,0.2,74.0
Coimbatore Sorting Hub,70,Afternoon,0.81,0.3,3.1,56.6
Tiruppur Weaving Plant,142,Afternoon,0.98,0.7,2.4,80.7
Coimbatore Sorting Hub,75,Night,0.9,3.5,0.1,91.9
Chennai Extrusion Center,51,Night,0.95,4.8,0.6,82.1
Chennai Extrusion Center,73,Afternoon,0.91,0.1,1.4,69.4
Salem Compressed Scrap,148,Night,0.97,2.4,0.8,84.0
Salem Compressed Scrap,22,Afternoon,0.91,7.8,2.3,69.3
Tiruppur Weaving Plant,47,Morning,0.99,7.6,1.6,65.7
Coimbatore Sorting Hub,40,Morning,0.77,0.6,2.1,55.2
Tiruppur Weaving Plant,66,Morning,0.93,8.4,1.8,78.2
Coimbatore Sorting Hub,112,Afternoon,0.77,3.1,0.3,76.9
Coimbatore Sorting Hub,99,Morning,0.8,1.3,0.3,60.8
Chennai Extrusion Center,84,Afternoon,0.82,6.1,2.0,60.7
Tiruppur Weaving Plant,52,Afternoon,0.98,6.4,1.1,82.3
Salem Compressed Scrap,117,Afternoon,0.96,8.7,2.3,80.1
Chennai Extrusion Center,92,Night,0.92,4.0,0.3,75.5
Chennai Extrusion Center,77,Night,0.72,3.3,1.7,56.9
Coimbatore Sorting Hub,143,Afternoon,0.81,7.2,1.2,62.0
Chennai Extrusion Center,21,Night,0.72,6.2,3.8,47.1
Salem Compressed Scrap,104,Morning,0.73,4.3,1.4,55.1
Chennai Extrusion Center,27,Night,0.91,6.1,1.7,68.2
Tiruppur Weaving Plant,13,Night,0.88,3.5,0.9,81.9
Chennai Extrusion Center,137,Night,0.89,2.6,2.3,59.9
Salem Compressed Scrap,22,Night,0.71,3.2,1.1,58.6
Coimbatore Sorting Hub,53,Afternoon,0.98,9.2,3.5,69.0
Salem Compressed Scrap,129,Night,0.75,4.1,2.6,45.3
Chennai Extrusion Center,88,Night,0.82,4.2,1.0,74.1
Salem Compressed Scrap,133,Afternoon,0.81,5.3,3.4,44.0
Coimbatore Sorting Hub,66,Night,0.75,9.6,3.8,50.0
Chennai Extrusion Center,115,Morning,0.7,5.1,0.8,60.1
Chennai Extrusion Center,31,Night,0.82,10.0,2.9,55.5
Tiruppur Weaving Plant,55,Afternoon,0.92,1.1,3.9,62.8
Tiruppur Weaving Plant,132,Afternoon,0.95,0.1,0.9,78.5
Tiruppur Weaving Plant,36,Morning,0.96,6.3,2.6,72.5
Chennai Extrusion Center,108,Morning,0.89,6.4,3.1,73.3
Chennai Extrusion Center,128,Night,0.76,2.3,1.7,60.2
Chennai Extrusion Center,86,Night,0.84,8.9,1.9,59.5
Tiruppur Weaving Plant,53,Night,0.87,3.4,0.7,70.1
Salem Compressed Scrap,40,Morning,0.94,4.2,3.6,63.2
Salem Compressed Scrap,50,Morning,0.89,8.6,1.2,66.0
Coimbatore Sorting Hub,19,Night,0.99,4.2,3.2,68.3
Tiruppur Weaving Plant,13,Night,0.96,7.2,3.6,65.8
Tiruppur Weaving Plant,90,Night,0.99,9.5,1.4,74.7
Tiruppur Weaving Plant,134,Morning,0.71,0.2,1.6,66.5
Salem Compressed Scrap,52,Morning,0.86,0.3,3.1,60.0
Coimbatore Sorting Hub,60,Afternoon,0.92,5.2,2.5,74.8
Chennai Extrusion Center,127,Night,0.79,10.0,3.0,54.1
Chennai Extrusion Center,25,Night,0.89,3.4,0.1,79.4
Chennai Extrusion Center,73,Night,0.97,2.7,1.0,77.4
Chennai Extrusion Center,116,Night,0.86,4.9,2.9,66.3
Salem Compressed Scrap,17,Night,0.9,6.8,1.9,66.1
Coimbatore Sorting Hub,73,Morning,0.79,2.1,1.9,50.9
Chennai Extrusion Center,115,Afternoon,0.81,5.9,2.0,61.7
Coimbatore Sorting Hub,24,Night,0.85,9.2,3.8,55.9
Coimbatore Sorting Hub,124,Morning,0.91,8.5,1.4,74.7
Chennai Extrusion Center,72,Afternoon,0.93,7.4,3.3,66.4
Salem Compressed Scrap,93,Morning,0.97,3.2,1.8,81.8
Tiruppur Weaving Plant,142,Morning,0.93,2.0,3.2,61.2
Chennai Extrusion Center,52,Afternoon,0.85,1.5,1.0,71.5
Coimbatore Sorting Hub,118,Night,0.85,0.6,3.7,54.8
Chennai Extrusion Center,50,Afternoon,0.86,2.4,3.0,52.2
Coimbatore Sorting Hub,28,Afternoon,0.76,7.1,0.4,68.1
Tiruppur Weaving Plant,116,Night,0.83,0.7,2.0,60.5
Salem Compressed Scrap,55,Afternoon,0.81,6.1,3.5,54.1
Salem Compressed Scrap,57,Morning,0.83,0.9,2.4,62.1
Chennai Extrusion Center,19,Night,0.72,3.1,2.0,49.1
Salem Compressed Scrap,109,Afternoon,0.96,9.7,1.8,77.8
Tiruppur Weaving Plant,12,Night,0.87,9.5,2.1,69.6
Salem Compressed Scrap,146,Morning,0.7,3.3,0.2,63.2
Salem Compressed Scrap,58,Afternoon,0.73,7.9,2.7,51.0
Salem Compressed Scrap,145,Afternoon,0.73,5.5,2.4,55.6
Salem Compressed Scrap,71,Night,0.95,7.2,0.5,89.7
Salem Compressed Scrap,146,Afternoon,0.92,0.2,3.6,65.0
Coimbatore Sorting Hub,37,Night,0.89,6.8,3.2,56.0
Coimbatore Sorting Hub,90,Night,0.79,4.5,2.8,60.8
Tiruppur Weaving Plant,139,Morning,1.0,6.9,0.1,84.2
Chennai Extrusion Center,111,Morning,0.78,4.3,1.5,64.6
Tiruppur Weaving Plant,65,Night,0.92,0.5,2.2,66.1
Salem Compressed Scrap,56,Night,0.96,5.2,2.5,69.5
Salem Compressed Scrap,67,Night,0.77,2.5,2.0,59.2
Chennai Extrusion Center,58,Night,0.78,2.8,2.6,58.3
Coimbatore Sorting Hub,35,Night,0.77,6.1,2.1,62.4
Chennai Extrusion Center,107,Morning,0.89,8.5,0.7,81.6
Tiruppur Weaving Plant,148,Night,0.78,9.8,1.1,70.6
Tiruppur Weaving Plant,30,Night,0.87,0.3,3.6,55.7
Salem Compressed Scrap,105,Afternoon,0.85,4.5,1.3,62.3
Chennai Extrusion Center,107,Morning,0.83,9.2,0.7,73.0
Chennai Extrusion Center,68,Night,0.8,1.6,1.1,62.4
Salem Compressed Scrap,133,Morning,0.77,2.6,3.5,57.8
Chennai Extrusion Center,77,Afternoon,0.81,4.8,0.7,68.8
Chennai Extrusion Center,94,Afternoon,0.99,9.8,1.9,78.2
Salem Compressed Scrap,44,Night,0.89,0.8,2.0,69.3
Chennai Extrusion Center,83,Night,0.79,7.0,0.9,74.2
Salem Compressed Scrap,41,Night,0.84,2.9,3.2,58.6
Chennai Extrusion Center,86,Night,0.97,1.0,2.6,70.7
Coimbatore Sorting Hub,89,Afternoon,0.76,6.3,3.2,46.3
Tiruppur Weaving Plant,107,Night,0.99,0.7,1.9,72.5
Coimbatore Sorting Hub,30,Morning,0.81,3.2,2.1,66.0
Chennai Extrusion Center,64,Night,0.9,8.9,1.8,76.4
Chennai Extrusion Center,149,Night,0.86,8.2,1.2,68.6
Tiruppur Weaving Plant,144,Night,0.79,9.7,1.3,70.8
Salem Compressed Scrap,13,Night,0.92,2.9,1.2,71.3
Coimbatore Sorting Hub,106,Afternoon,0.96,8.0,2.6,71.1
Coimbatore Sorting Hub,49,Afternoon,0.95,3.0,3.3,66.6
Coimbatore Sorting Hub,131,Morning,0.85,5.2,0.9,62.4
Tiruppur Weaving Plant,41,Night,0.75,0.9,1.0,64.0
Salem Compressed Scrap,39,Afternoon,0.87,4.9,1.7,60.2
Tiruppur Weaving Plant,98,Afternoon,0.92,0.8,0.9,77.2
Salem Compressed Scrap,68,Morning,0.87,5.5,3.8,58.4
Coimbatore Sorting Hub,63,Morning,0.81,5.5,2.5,62.0
Salem Compressed Scrap,85,Morning,0.95,5.4,1.2,67.4
Tiruppur Weaving Plant,39,Morning,0.98,6.2,2.9,77.3
Salem Compressed Scrap,55,Morning,0.86,9.6,0.4,81.2
Salem Compressed Scrap,101,Night,0.79,8.6,3.7,47.8
Coimbatore Sorting Hub,38,Afternoon,0.74,0.4,0.5,64.2
Salem Compressed Scrap,121,Night,0.93,7.3,3.7,67.2
Salem Compressed Scrap,60,Night,0.81,5.6,2.9,59.2
Tiruppur Weaving Plant,115,Afternoon,0.79,5.4,1.1,64.3
Coimbatore Sorting Hub,138,Afternoon,0.87,1.5,1.3,60.7
Salem Compressed Scrap,72,Night,0.82,0.6,1.5,60.8
Coimbatore Sorting Hub,30,Morning,0.95,9.1,0.4,82.6
Salem Compressed Scrap,79,Night,0.92,2.3,1.5,71.8
Chennai Extrusion Center,29,Night,0.81,7.1,1.5,58.8
Tiruppur Weaving Plant,36,Night,0.92,1.8,0.3,74.8
Coimbatore Sorting Hub,97,Afternoon,0.75,5.7,1.4,58.6
Tiruppur Weaving Plant,80,Night,0.83,2.4,0.0,68.5
Tiruppur Weaving Plant,130,Afternoon,0.99,6.4,1.8,86.0
Coimbatore Sorting Hub,143,Night,0.79,2.0,1.1,61.2
Salem Compressed Scrap,132,Night,0.79,1.2,1.6,49.2
Coimbatore Sorting Hub,131,Afternoon,0.97,8.9,0.8,82.3
Salem Compressed Scrap,95,Night,0.81,6.2,3.5,47.9
Salem Compressed Scrap,67,Morning,0.93,1.4,2.5,68.0
Chennai Extrusion Center,40,Afternoon,0.88,3.5,0.1,73.4
Tiruppur Weaving Plant,39,Afternoon,0.75,5.6,0.3,65.2
Coimbatore Sorting Hub,116,Morning,0.92,7.6,3.1,68.5
Chennai Extrusion Center,22,Night,0.74,7.3,2.2,46.0
Coimbatore Sorting Hub,39,Night,0.85,6.1,0.0,75.5
Tiruppur Weaving Plant,140,Morning,0.99,1.8,2.4,63.7
Coimbatore Sorting Hub,52,Morning,0.71,9.7,3.2,43.7
Coimbatore Sorting Hub,74,Night,0.82,7.5,1.5,66.9
Salem Compressed Scrap,100,Night,0.95,5.9,1.5,67.0
Chennai Extrusion Center,55,Night,0.75,9.6,2.9,51.7
Tiruppur Weaving Plant,85,Afternoon,0.94,3.2,2.0,78.9
Chennai Extrusion Center,93,Night,0.85,9.9,1.2,63.3
Coimbatore Sorting Hub,25,Morning,0.87,2.7,0.1,77.1
Coimbatore Sorting Hub,122,Afternoon,0.84,4.3,2.9,50.8
Chennai Extrusion Center,31,Afternoon,0.7,2.8,2.3,52.8
