material,source_industry,destination_industry,quantity_tons,purity,transport_distance_km,market_price_per_ton,processing_cost_per_ton,transport_cost_per_km,revenue,processing_cost,transport_cost,total_cost,net_profit,roi_percent,profitability
Chemical Sludge,Chemical,Hazardous Treatment Facility,6.37,70,289,650.0,198.0,1.06,4140.5,1261.26,306.34,1567.6,2572.9,164.13,Excellent
Steel Slag,Steel,Construction,91.66,70,337,106.25,16.5,1.7,9738.88,1512.39,572.9,2085.29,7653.59,367.03,Excellent
Paper Sludge,Paper,Brick Manufacturing,45.42,82,193,98.25,14.28,1.07,4462.52,648.6,206.51,855.11,3607.41,421.87,Excellent
Food Waste,Food,Biogas,20.9,71,138,75.3,10.93,1.92,1573.77,228.44,264.96,493.4,1080.37,218.96,Excellent
Bagasse,Sugar,Paper,89.27,90,117,148.5,17.4,1.54,13256.59,1553.3,180.18,1733.48,11523.11,664.74,Excellent
Used Oil,Automotive,Authorized Oil Recycler,47.53,83,422,591.75,121.6,2.16,28125.88,5779.65,911.52,6691.17,21434.71,320.34,Excellent
Food Waste,Food,Biogas,70.95,70,96,75.0,11.0,1.72,5321.25,780.45,165.12,945.57,4375.68,462.76,Excellent
Paper Sludge,Paper,Brick Manufacturing,49.49,84,120,99.0,14.09,1.8,4899.51,697.31,216.0,913.31,3986.2,436.46,Excellent
Cotton Scrap,Textile,Paper,57.5,84,451,237.6,35.23,1.87,13662.0,2025.72,843.37,2869.09,10792.91,376.18,Excellent
Glass Waste,Glass,Glass Recycling,4.01,85,293,132.5,22.0,0.88,531.32,88.22,257.84,346.06,185.26,53.53,High Profit
Used Oil,Automotive,Authorized Oil Recycler,98.83,78,168,580.5,125.6,1.92,57370.82,12413.05,322.56,12735.61,44635.21,350.48,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,32.02,93,235,1228.5,284.0,2.39,39336.57,9093.68,561.65,9655.33,29681.24,307.41,Excellent
Steel Slag,Steel,Construction,56.53,85,235,112.62,15.0,1.77,6366.41,847.95,415.95,1263.9,5102.51,403.71,Excellent
Used Oil,Automotive,Authorized Oil Recycler,74.07,83,139,591.75,121.6,0.91,43830.92,9006.91,126.49,9133.4,34697.52,379.9,Excellent
Bagasse,Sugar,Paper,92.59,98,264,152.9,16.44,2.11,14157.01,1522.18,557.04,2079.22,12077.79,580.88,Excellent
Used Oil,Automotive,Authorized Oil Recycler,11.16,80,41,585.0,124.0,1.83,6528.6,1383.84,75.03,1458.87,5069.73,347.51,Excellent
Rice Husk,Agriculture,Biofuel,59.65,81,389,123.98,20.53,1.72,7395.41,1224.61,669.08,1893.69,5501.72,290.53,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,5.69,77,288,668.2,189.6,0.95,3802.06,1078.82,273.6,1352.42,2449.64,181.13,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,73.13,80,412,1170.0,310.0,1.84,85562.1,22670.3,758.08,23428.38,62133.72,265.21,Excellent
Paper Sludge,Paper,Brick Manufacturing,98.9,95,459,103.12,13.07,0.97,10198.57,1292.62,445.23,1737.85,8460.72,486.85,Excellent
Food Waste,Food,Biogas,10.33,90,139,81.0,9.67,0.9,836.73,99.89,125.1,224.99,611.74,271.9,Excellent
Glass Waste,Glass,Glass Recycling,58.84,72,252,126.0,23.91,1.93,7413.84,1406.86,486.36,1893.22,5520.62,291.6,Excellent
Plastic Scrap,Packaging,Plastic Recycling,28.9,77,341,282.7,42.13,1.55,8170.03,1217.56,528.55,1746.11,6423.92,367.9,Excellent
Steel Slag,Steel,Construction,61.46,98,268,118.15,13.7,1.51,7261.5,842.0,404.68,1246.68,6014.82,482.47,Excellent
Steel Slag,Steel,Construction,14.29,76,215,108.8,15.9,1.91,1554.75,227.21,410.65,637.86,916.89,143.74,Excellent
Cotton Scrap,Textile,Paper,32.23,92,114,244.8,33.37,0.96,7889.9,1075.52,109.44,1184.96,6704.94,565.84,Excellent
Fly Ash,Thermal Power,Cement,23.13,73,28,88.55,12.96,1.07,2048.16,299.76,29.96,329.72,1718.44,521.18,Excellent
Used Oil,Automotive,Authorized Oil Recycler,29.47,87,215,600.75,118.4,1.0,17704.1,3489.25,215.0,3704.25,13999.85,377.94,Excellent
Cotton Scrap,Textile,Paper,20.74,82,22,235.8,35.7,2.49,4890.49,740.42,54.78,795.2,4095.29,515.0,Excellent
Paper Sludge,Paper,Brick Manufacturing,13.11,80,393,97.5,14.47,2.27,1278.22,189.7,892.11,1081.81,196.41,18.16,Moderate Profit
Rice Husk,Agriculture,Biofuel,57.62,82,456,124.45,20.4,2.4,7170.81,1175.45,1094.4,2269.85,4900.96,215.92,Excellent
Cotton Scrap,Textile,Paper,8.14,95,368,247.5,32.67,2.15,2014.65,265.93,791.2,1057.13,957.52,90.58,Excellent
Used Oil,Automotive,Authorized Oil Recycler,64.99,86,161,598.5,119.2,1.02,38896.51,7746.81,164.22,7911.03,30985.48,391.67,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,98.07,97,61,720.2,165.6,0.81,70630.01,16240.39,49.41,16289.8,54340.21,333.58,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,96.39,91,137,1219.5,288.0,2.48,117547.6,27760.32,339.76,28100.08,89447.52,318.32,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,9.95,80,266,1170.0,310.0,2.37,11641.5,3084.5,630.42,3714.92,7926.58,213.37,Excellent
Paper Sludge,Paper,Brick Manufacturing,12.36,89,208,100.88,13.63,0.89,1246.88,168.47,185.12,353.59,893.29,252.63,Excellent
Rice Husk,Agriculture,Biofuel,32.75,88,454,127.3,19.6,2.18,4169.07,641.9,989.72,1631.62,2537.45,155.52,Excellent
Paper Sludge,Paper,Brick Manufacturing,79.06,70,191,93.75,15.4,2.26,7411.88,1217.52,431.66,1649.18,5762.7,349.43,Excellent
Rice Husk,Agriculture,Biofuel,6.63,85,402,125.88,20.0,1.1,834.58,132.6,442.2,574.8,259.78,45.19,High Profit
Bagasse,Sugar,Paper,21.72,96,250,151.8,16.68,2.29,3297.1,362.29,572.5,934.79,2362.31,252.71,Excellent
Glass Waste,Glass,Glass Recycling,71.23,76,307,128.0,23.32,1.59,9117.44,1661.08,488.13,2149.21,6968.23,324.22,Excellent
Glass Waste,Glass,Glass Recycling,65.44,73,91,126.5,23.76,2.0,8278.16,1554.85,182.0,1736.85,6541.31,376.62,Excellent
Paper Sludge,Paper,Brick Manufacturing,28.62,83,92,98.62,14.19,0.9,2822.5,406.12,82.8,488.92,2333.58,477.29,Excellent
Cotton Scrap,Textile,Paper,97.1,79,351,233.1,36.4,1.49,22634.01,3534.44,522.99,4057.43,18576.58,457.84,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,36.17,86,344,1197.0,298.0,1.37,43295.49,10778.66,471.28,11249.94,32045.55,284.85,Excellent
Food Waste,Food,Biogas,76.61,88,87,80.4,9.8,0.99,6159.44,750.78,86.13,836.91,5322.53,635.97,Excellent
Bagasse,Sugar,Paper,10.85,83,351,144.65,18.24,1.83,1569.45,197.9,642.33,840.23,729.22,86.79,Excellent
Paper Sludge,Paper,Brick Manufacturing,47.18,72,38,94.5,15.21,0.81,4458.51,717.61,30.78,748.39,3710.12,495.75,Excellent
Food Waste,Food,Biogas,43.21,77,466,77.1,10.53,0.98,3331.49,455.0,456.68,911.68,2419.81,265.42,Excellent
Fly Ash,Thermal Power,Cement,92.51,80,260,91.0,12.4,1.06,8418.41,1147.12,275.6,1422.72,6995.69,491.71,Excellent
Plastic Scrap,Packaging,Plastic Recycling,29.83,95,274,302.5,37.33,0.8,9023.57,1113.55,219.2,1332.75,7690.82,577.06,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,80.98,76,125,1152.0,318.0,1.41,93288.96,25751.64,176.25,25927.89,67361.07,259.8,Excellent
Bagasse,Sugar,Paper,62.99,82,173,144.1,18.36,2.07,9076.86,1156.5,358.11,1514.61,7562.25,499.29,Excellent
Rice Husk,Agriculture,Biofuel,85.84,86,328,126.35,19.87,1.23,10845.88,1705.64,403.44,2109.08,8736.8,414.25,Excellent
Steel Slag,Steel,Construction,69.45,97,122,117.72,13.8,1.25,8175.65,958.41,152.5,1110.91,7064.74,635.94,Excellent
Food Waste,Food,Biogas,6.01,86,129,79.8,9.93,2.15,479.6,59.68,277.35,337.03,142.57,42.3,High Profit
Fly Ash,Thermal Power,Cement,81.77,75,230,89.25,12.8,1.88,7297.97,1046.66,432.4,1479.06,5818.91,393.42,Excellent
Paper Sludge,Paper,Brick Manufacturing,77.0,81,70,97.88,14.37,2.32,7536.76,1106.49,162.4,1268.89,6267.87,493.96,Excellent
Used Oil,Automotive,Authorized Oil Recycler,4.88,93,319,614.25,113.6,2.11,2997.54,554.37,673.09,1227.46,1770.08,144.21,Excellent
Fly Ash,Thermal Power,Cement,76.55,74,380,88.9,12.88,0.87,6805.3,985.96,330.6,1316.56,5488.74,416.9,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,93.85,77,19,1156.5,316.0,1.55,108537.52,29656.6,29.45,29686.05,78851.47,265.62,Excellent
Used Oil,Automotive,Authorized Oil Recycler,71.62,71,256,564.75,131.2,1.6,40447.4,9396.54,409.6,9806.14,30641.26,312.47,Excellent
Glass Waste,Glass,Glass Recycling,29.16,85,304,132.5,22.0,1.04,3863.7,641.52,316.16,957.68,2906.02,303.44,Excellent
Used Oil,Automotive,Authorized Oil Recycler,80.4,88,145,603.0,117.6,2.08,48481.2,9455.04,301.6,9756.64,38724.56,396.9,Excellent
Glass Waste,Glass,Glass Recycling,21.68,98,203,139.0,20.09,2.26,3013.52,435.55,458.78,894.33,2119.19,236.96,Excellent
Bagasse,Sugar,Paper,35.53,84,228,145.2,18.12,1.49,5158.96,643.8,339.72,983.52,4175.44,424.54,Excellent
Cotton Scrap,Textile,Paper,88.02,91,111,243.9,33.6,2.07,21468.08,2957.47,229.77,3187.24,18280.84,573.56,Excellent
Bagasse,Sugar,Paper,98.06,74,51,139.7,19.32,1.1,13698.98,1894.52,56.1,1950.62,11748.36,602.29,Excellent
Food Waste,Food,Biogas,27.65,92,87,81.6,9.53,1.25,2256.24,263.5,108.75,372.25,1883.99,506.11,Excellent
Rice Husk,Agriculture,Biofuel,16.38,88,213,127.3,19.6,1.39,2085.17,321.05,296.07,617.12,1468.05,237.89,Excellent
Fly Ash,Thermal Power,Cement,8.35,88,303,93.8,11.76,2.18,783.23,98.2,660.54,758.74,24.49,3.23,Low Profit
Cotton Scrap,Textile,Paper,33.31,91,205,243.9,33.6,1.86,8124.31,1119.22,381.3,1500.52,6623.79,441.43,Excellent
Steel Slag,Steel,Construction,82.48,85,394,112.62,15.0,1.79,9288.9,1237.2,705.26,1942.46,7346.44,378.2,Excellent
Used Oil,Automotive,Authorized Oil Recycler,19.91,83,304,591.75,121.6,2.12,11781.74,2421.06,644.48,3065.54,8716.2,284.33,Excellent
Food Waste,Food,Biogas,97.98,96,237,82.8,9.27,2.38,8112.74,908.27,564.06,1472.33,6640.41,451.01,Excellent
Plastic Scrap,Packaging,Plastic Recycling,11.18,86,424,292.6,39.73,2.37,3271.27,444.18,1004.88,1449.06,1822.21,125.75,Excellent
Cotton Scrap,Textile,Paper,75.41,95,181,247.5,32.67,1.18,18663.97,2463.64,213.58,2677.22,15986.75,597.14,Excellent
Glass Waste,Glass,Glass Recycling,90.1,91,334,135.5,21.12,1.83,12208.55,1902.91,611.22,2514.13,9694.42,385.6,Excellent
Paper Sludge,Paper,Brick Manufacturing,35.38,97,284,103.88,12.88,1.45,3675.27,455.69,411.8,867.49,2807.78,323.67,Excellent
Paper Sludge,Paper,Brick Manufacturing,63.28,84,383,99.0,14.09,1.26,6264.72,891.62,482.58,1374.2,4890.52,355.88,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,53.18,88,11,696.8,176.4,2.18,37055.82,9380.95,23.98,9404.93,27650.89,294.0,Excellent
Glass Waste,Glass,Glass Recycling,82.12,99,182,139.5,19.95,2.28,11455.74,1638.29,414.96,2053.25,9402.49,457.93,Excellent
Used Oil,Automotive,Authorized Oil Recycler,95.06,86,123,598.5,119.2,2.07,56893.41,11331.15,254.61,11585.76,45307.65,391.06,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,9.28,99,205,1255.5,272.0,1.22,11651.04,2524.16,250.1,2774.26,8876.78,319.97,Excellent
Cotton Scrap,Textile,Paper,1.99,83,62,236.7,35.47,2.03,471.03,70.59,125.86,196.45,274.58,139.77,Excellent
Glass Waste,Glass,Glass Recycling,48.01,98,52,139.0,20.09,1.13,6673.39,964.52,58.76,1023.28,5650.11,552.16,Excellent
Paper Sludge,Paper,Brick Manufacturing,44.38,83,103,98.62,14.19,1.47,4376.76,629.75,151.41,781.16,3595.6,460.29,Excellent
Steel Slag,Steel,Construction,2.04,71,184,106.67,16.4,1.48,217.61,33.46,272.32,305.78,-88.17,-28.83,Loss
Used Oil,Automotive,Authorized Oil Recycler,89.37,96,487,621.0,111.2,1.48,55498.77,9937.94,720.76,10658.7,44840.07,420.69,Excellent
Paper Sludge,Paper,Brick Manufacturing,11.61,77,492,96.38,14.75,1.23,1118.97,171.25,605.16,776.41,342.56,44.12,High Profit
Plastic Scrap,Packaging,Plastic Recycling,31.87,79,371,284.9,41.6,1.2,9079.76,1325.79,445.2,1770.99,7308.77,412.69,Excellent
Bagasse,Sugar,Paper,46.87,97,220,152.35,16.56,1.14,7140.64,776.17,250.8,1026.97,6113.67,595.31,Excellent
Steel Slag,Steel,Construction,37.9,88,476,113.9,14.7,1.59,4316.81,557.13,756.84,1313.97,3002.84,228.53,Excellent
Cotton Scrap,Textile,Paper,16.27,97,211,249.3,32.2,2.14,4056.11,523.89,451.54,975.43,3080.68,315.83,Excellent
Fly Ash,Thermal Power,Cement,64.01,70,248,87.5,13.2,2.09,5600.88,844.93,518.32,1363.25,4237.63,310.85,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,69.6,72,396,1134.0,326.0,1.26,78926.4,22689.6,498.96,23188.56,55737.84,240.37,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,84.23,95,119,715.0,168.0,1.47,60224.45,14150.64,174.93,14325.57,45898.88,320.4,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,81.67,75,311,1147.5,320.0,1.9,93716.32,26134.4,590.9,26725.3,66991.02,250.67,Excellent
Food Waste,Food,Biogas,51.07,72,234,75.6,10.87,1.91,3860.89,555.13,446.94,1002.07,2858.82,285.29,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,8.48,70,499,650.0,198.0,1.74,5512.0,1679.04,868.26,2547.3,2964.7,116.39,Excellent
Food Waste,Food,Biogas,18.77,97,145,83.1,9.2,1.75,1559.79,172.68,253.75,426.43,1133.36,265.78,Excellent
Bagasse,Sugar,Paper,98.72,70,298,137.5,19.8,1.08,13574.0,1954.66,321.84,2276.5,11297.5,496.27,Excellent
Used Oil,Automotive,Authorized Oil Recycler,46.79,99,473,627.75,108.8,2.35,29372.42,5090.75,1111.55,6202.3,23170.12,373.57,Excellent
Fly Ash,Thermal Power,Cement,16.74,89,25,94.15,11.68,1.05,1576.07,195.52,26.25,221.77,1354.3,610.68,Excellent
Plastic Scrap,Packaging,Plastic Recycling,5.79,71,22,276.1,43.73,2.38,1598.62,253.2,52.36,305.56,1293.06,423.18,Excellent
Rice Husk,Agriculture,Biofuel,88.5,97,189,131.57,18.4,2.22,11643.94,1628.4,419.58,2047.98,9595.96,468.56,Excellent
Food Waste,Food,Biogas,39.91,85,248,79.5,10.0,0.85,3172.84,399.1,210.8,609.9,2562.94,420.22,Excellent
Fly Ash,Thermal Power,Cement,57.53,74,432,88.9,12.88,1.62,5114.42,740.99,699.84,1440.83,3673.59,254.96,Excellent
Fly Ash,Thermal Power,Cement,86.03,85,275,92.75,12.0,1.83,7979.28,1032.36,503.25,1535.61,6443.67,419.62,Excellent
Used Oil,Automotive,Authorized Oil Recycler,61.67,96,144,621.0,111.2,1.9,38297.07,6857.7,273.6,7131.3,31165.77,437.03,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,47.63,88,489,696.8,176.4,1.47,33188.58,8401.93,718.83,9120.76,24067.82,263.88,Excellent
Food Waste,Food,Biogas,2.22,88,173,80.4,9.8,1.01,178.49,21.76,174.73,196.49,-18.0,-9.16,Loss
Glass Waste,Glass,Glass Recycling,19.43,77,410,128.5,23.17,1.53,2496.76,450.19,627.3,1077.49,1419.27,131.72,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,7.85,89,375,699.4,175.2,2.36,5490.29,1375.32,885.0,2260.32,3229.97,142.9,Excellent
Plastic Scrap,Packaging,Plastic Recycling,29.07,91,321,298.1,38.4,2.26,8665.77,1116.29,725.46,1841.75,6824.02,370.52,Excellent
Bagasse,Sugar,Paper,42.53,80,138,143.0,18.6,1.67,6081.79,791.06,230.46,1021.52,5060.27,495.37,Excellent
Cotton Scrap,Textile,Paper,95.76,72,495,226.8,38.03,0.84,21718.37,3641.75,415.8,4057.55,17660.82,435.26,Excellent
Used Oil,Automotive,Authorized Oil Recycler,21.68,93,213,614.25,113.6,2.02,13316.94,2462.85,430.26,2893.11,10423.83,360.3,Excellent
Rice Husk,Agriculture,Biofuel,26.88,96,332,131.1,18.53,1.81,3523.97,498.09,600.92,1099.01,2424.96,220.65,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,54.4,94,456,712.4,169.2,2.31,38754.56,9204.48,1053.36,10257.84,28496.72,277.8,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,52.72,77,207,1156.5,316.0,2.09,60970.68,16659.52,432.63,17092.15,43878.53,256.72,Excellent
Steel Slag,Steel,Construction,88.79,72,403,107.1,16.3,2.38,9509.41,1447.28,959.14,2406.42,7102.99,295.17,Excellent
Food Waste,Food,Biogas,76.06,85,340,79.5,10.0,0.89,6046.77,760.6,302.6,1063.2,4983.57,468.73,Excellent
Paper Sludge,Paper,Brick Manufacturing,51.62,81,360,97.88,14.37,1.13,5052.57,741.78,406.8,1148.58,3903.99,339.9,Excellent
Steel Slag,Steel,Construction,83.25,71,368,106.67,16.4,0.97,8880.28,1365.3,356.96,1722.26,7158.02,415.62,Excellent
Used Oil,Automotive,Authorized Oil Recycler,23.19,84,423,594.0,120.8,1.75,13774.86,2801.35,740.25,3541.6,10233.26,288.94,Excellent
Steel Slag,Steel,Construction,21.74,77,179,109.23,15.8,1.86,2374.66,343.49,332.94,676.43,1698.23,251.06,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,3.57,78,415,670.8,188.4,1.33,2394.76,672.59,551.95,1224.54,1170.22,95.56,Excellent
Rice Husk,Agriculture,Biofuel,70.19,77,356,122.08,21.07,2.17,8568.8,1478.9,772.52,2251.42,6317.38,280.6,Excellent
Steel Slag,Steel,Construction,27.94,89,297,114.33,14.6,1.26,3194.38,407.92,374.22,782.14,2412.24,308.42,Excellent
Food Waste,Food,Biogas,56.73,80,380,78.0,10.33,2.31,4424.94,586.02,877.8,1463.82,2961.12,202.29,Excellent
Plastic Scrap,Packaging,Plastic Recycling,14.51,87,500,293.7,39.47,2.13,4261.59,572.71,1065.0,1637.71,2623.88,160.22,Excellent
Used Oil,Automotive,Authorized Oil Recycler,60.62,90,253,607.5,116.0,1.7,36826.65,7031.92,430.1,7462.02,29364.63,393.52,Excellent
Bagasse,Sugar,Paper,41.6,96,318,151.8,16.68,1.92,6314.88,693.89,610.56,1304.45,5010.43,384.1,Excellent
Plastic Scrap,Packaging,Plastic Recycling,75.74,75,401,280.5,42.67,1.99,21245.07,3231.83,797.99,4029.82,17215.25,427.2,Excellent
Steel Slag,Steel,Construction,57.15,85,296,112.62,15.0,1.5,6436.23,857.25,444.0,1301.25,5134.98,394.62,Excellent
Glass Waste,Glass,Glass Recycling,4.96,90,300,135.0,21.27,2.08,669.6,105.5,624.0,729.5,-59.9,-8.21,Loss
Paper Sludge,Paper,Brick Manufacturing,89.76,72,359,94.5,15.21,0.81,8482.32,1365.25,290.79,1656.04,6826.28,412.21,Excellent
Rice Husk,Agriculture,Biofuel,11.44,97,95,131.57,18.4,0.89,1505.16,210.5,84.55,295.05,1210.11,410.14,Excellent
Used Oil,Automotive,Authorized Oil Recycler,26.65,76,158,576.0,127.2,2.32,15350.4,3389.88,366.56,3756.44,11593.96,308.64,Excellent
Steel Slag,Steel,Construction,27.96,71,284,106.67,16.4,1.9,2982.49,458.54,539.6,998.14,1984.35,198.8,Excellent
Steel Slag,Steel,Construction,59.19,70,300,106.25,16.5,2.29,6288.94,976.63,687.0,1663.63,4625.31,278.03,Excellent
Used Oil,Automotive,Authorized Oil Recycler,64.72,98,448,625.5,109.6,1.73,40482.36,7093.31,775.04,7868.35,32614.01,414.5,Excellent
Used Oil,Automotive,Authorized Oil Recycler,93.06,94,465,616.5,112.8,1.4,57371.49,10497.17,651.0,11148.17,46223.32,414.63,Excellent
Bagasse,Sugar,Paper,62.39,70,469,137.5,19.8,1.64,8578.62,1235.32,769.16,2004.48,6574.14,327.97,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,45.11,90,440,702.0,174.0,1.11,31667.22,7849.14,488.4,8337.54,23329.68,279.81,Excellent
Used Oil,Automotive,Authorized Oil Recycler,96.45,72,394,567.0,130.4,1.3,54687.15,12577.08,512.2,13089.28,41597.87,317.8,Excellent
Used Oil,Automotive,Authorized Oil Recycler,38.12,73,47,569.25,129.6,2.36,21699.81,4940.35,110.92,5051.27,16648.54,329.59,Excellent
Fly Ash,Thermal Power,Cement,18.16,84,479,92.4,12.08,2.02,1677.98,219.37,967.58,1186.95,491.03,41.37,High Profit
Bagasse,Sugar,Paper,93.58,98,271,152.9,16.44,1.48,14308.38,1538.46,401.08,1939.54,12368.84,637.72,Excellent
Plastic Scrap,Packaging,Plastic Recycling,9.45,79,456,284.9,41.6,0.93,2692.3,393.12,424.08,817.2,1875.1,229.45,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,52.48,72,17,655.2,195.6,0.97,34384.9,10265.09,16.49,10281.58,24103.32,234.43,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,74.55,86,103,1197.0,298.0,1.86,89236.35,22215.9,191.58,22407.48,66828.87,298.24,Excellent
Food Waste,Food,Biogas,47.67,79,30,77.7,10.4,1.69,3703.96,495.77,50.7,546.47,3157.49,577.8,Excellent
Glass Waste,Glass,Glass Recycling,56.72,95,267,137.5,20.53,2.33,7799.0,1164.46,622.11,1786.57,6012.43,336.53,Excellent
Paper Sludge,Paper,Brick Manufacturing,67.45,93,155,102.38,13.25,1.99,6905.53,893.71,308.45,1202.16,5703.37,474.43,Excellent
Glass Waste,Glass,Glass Recycling,24.65,75,11,127.5,23.47,2.14,3142.88,578.54,23.54,602.08,2540.8,422.0,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,26.24,83,74,1183.5,304.0,2.3,31055.04,7976.96,170.2,8147.16,22907.88,281.18,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,81.24,99,461,1255.5,272.0,2.2,101996.82,22097.28,1014.2,23111.48,78885.34,341.33,Excellent
Paper Sludge,Paper,Brick Manufacturing,70.2,88,221,100.5,13.72,1.0,7055.1,963.14,221.0,1184.14,5870.96,495.8,Excellent
Rice Husk,Agriculture,Biofuel,92.91,98,186,132.05,18.27,1.52,12268.77,1697.47,282.72,1980.19,10288.58,519.58,Excellent
Paper Sludge,Paper,Brick Manufacturing,37.69,81,194,97.88,14.37,2.3,3689.1,541.61,446.2,987.81,2701.29,273.46,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,18.68,75,212,663.0,192.0,1.32,12384.84,3586.56,279.84,3866.4,8518.44,220.32,Excellent
Food Waste,Food,Biogas,38.68,81,105,78.3,10.27,2.48,3028.64,397.24,260.4,657.64,2371.0,360.53,Excellent
Steel Slag,Steel,Construction,5.78,76,309,108.8,15.9,1.27,628.86,91.9,392.43,484.33,144.53,29.84,Moderate Profit
Cotton Scrap,Textile,Paper,34.91,87,432,240.3,34.53,0.93,8388.87,1205.44,401.76,1607.2,6781.67,421.96,Excellent
Fly Ash,Thermal Power,Cement,96.02,80,342,91.0,12.4,0.94,8737.82,1190.65,321.48,1512.13,7225.69,477.85,Excellent
Paper Sludge,Paper,Brick Manufacturing,19.08,80,436,97.5,14.47,1.85,1860.3,276.09,806.6,1082.69,777.61,71.82,High Profit
Food Waste,Food,Biogas,34.41,79,105,77.7,10.4,2.16,2673.66,357.86,226.8,584.66,2089.0,357.3,Excellent
Food Waste,Food,Biogas,93.19,86,60,79.8,9.93,0.85,7436.56,925.38,51.0,976.38,6460.18,661.65,Excellent
Food Waste,Food,Biogas,35.13,94,411,82.2,9.4,1.96,2887.69,330.22,805.56,1135.78,1751.91,154.25,Excellent
Cotton Scrap,Textile,Paper,28.61,83,433,236.7,35.47,0.82,6771.99,1014.8,355.06,1369.86,5402.13,394.36,Excellent
Fly Ash,Thermal Power,Cement,5.62,94,413,95.9,11.28,2.16,538.96,63.39,892.08,955.47,-416.51,-43.59,Loss
E-Waste,Electronics,Authorized E-Waste Recycler,97.69,83,286,1183.5,304.0,1.76,115616.11,29697.76,503.36,30201.12,85414.99,282.82,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,57.86,76,76,665.6,190.8,0.98,38511.62,11039.69,74.48,11114.17,27397.45,246.51,Excellent
Cotton Scrap,Textile,Paper,27.66,97,429,249.3,32.2,1.49,6895.64,890.65,639.21,1529.86,5365.78,350.74,Excellent
Paper Sludge,Paper,Brick Manufacturing,72.55,93,248,102.38,13.25,2.14,7427.67,961.29,530.72,1492.01,5935.66,397.83,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,35.03,96,76,717.6,166.8,2.4,25137.53,5843.0,182.4,6025.4,19112.13,317.19,Excellent
Rice Husk,Agriculture,Biofuel,44.77,85,313,125.88,20.0,2.21,5635.65,895.4,691.73,1587.13,4048.52,255.08,Excellent
Bagasse,Sugar,Paper,46.39,94,200,150.7,16.92,0.97,6990.97,784.92,194.0,978.92,6012.05,614.15,Excellent
Rice Husk,Agriculture,Biofuel,86.16,95,203,130.62,18.67,1.14,11254.22,1608.61,231.42,1840.03,9414.19,511.63,Excellent
Used Oil,Automotive,Authorized Oil Recycler,20.8,89,135,605.25,116.8,2.0,12589.2,2429.44,270.0,2699.44,9889.76,366.36,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,47.61,83,80,683.8,182.4,1.69,32555.72,8684.06,135.2,8819.26,23736.46,269.14,Excellent
Paper Sludge,Paper,Brick Manufacturing,73.99,78,312,96.75,14.65,1.44,7158.53,1083.95,449.28,1533.23,5625.3,366.89,Excellent
Plastic Scrap,Packaging,Plastic Recycling,73.2,77,453,282.7,42.13,1.96,20693.64,3083.92,887.88,3971.8,16721.84,421.01,Excellent
Glass Waste,Glass,Glass Recycling,51.62,77,50,128.5,23.17,1.24,6633.17,1196.04,62.0,1258.04,5375.13,427.26,Excellent
Rice Husk,Agriculture,Biofuel,22.86,83,336,124.92,20.27,1.58,2855.67,463.37,530.88,994.25,1861.42,187.22,Excellent
Steel Slag,Steel,Construction,64.39,91,11,115.17,14.4,1.52,7415.8,927.22,16.72,943.94,6471.86,685.62,Excellent
Cotton Scrap,Textile,Paper,13.33,98,215,250.2,31.97,1.16,3335.17,426.16,249.4,675.56,2659.61,393.69,Excellent
Fly Ash,Thermal Power,Cement,25.32,99,417,97.65,10.88,2.23,2472.5,275.48,929.91,1205.39,1267.11,105.12,Excellent
Glass Waste,Glass,Glass Recycling,4.99,96,247,138.0,20.39,1.32,688.62,101.75,326.04,427.79,260.83,60.97,High Profit
