material,source_industry,destination_industry,quantity_tons,purity,hazard_level,hazardous,permit_required,authorized_destination,transport_authorized,transport_distance_km,missing_documents,pollution_category,required_documents,compliance_score,verdict
Rice Husk,Agriculture,Unauthorized Facility,10.09,83,Low,No,No,No,Yes,129,1,Organic,Invoice,65,Fail
Bagasse,Sugar,Paper,120.6,80,Low,No,No,Yes,Yes,164,0,Organic,Invoice,100,Pass
Paper Sludge,Paper,Brick Manufacturing,185.27,99,Low,No,No,Yes,Yes,109,0,Industrial,Transfer Record,100,Pass
Bagasse,Sugar,Paper,132.51,74,Low,No,No,Yes,Yes,218,1,Organic,Invoice,90,Pass
Bagasse,Sugar,Paper,194.97,73,Low,No,No,Yes,Yes,41,0,Organic,Invoice,100,Pass
Bagasse,Sugar,Paper,7.16,73,Low,No,No,Yes,Yes,253,0,Organic,Invoice,100,Pass
Cotton Scrap,Textile,Unauthorized Facility,71.65,99,Low,No,No,No,Yes,141,0,Non-Hazardous,Waste Transfer Record,75,Pass
Rice Husk,Agriculture,Biofuel,104.76,90,Low,No,No,Yes,Yes,296,0,Organic,Invoice,100,Pass
Fly Ash,Thermal Power,Unauthorized Facility,84.09,77,Low,No,No,No,Yes,76,0,Industrial,Transfer Record,75,Pass
Fly Ash,Thermal Power,Unauthorized Facility,41.3,88,Low,No,No,No,Yes,22,0,Industrial,Transfer Record,75,Pass
Used Oil,Automotive,Authorized Oil Recycler,46.31,92,High,Yes,Yes,Yes,Yes,189,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Food Waste,Food,Biogas,44.32,98,Low,No,No,Yes,Yes,55,0,Organic,Organic Waste Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,64.49,76,High,Yes,Yes,Yes,No,27,3,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,35,Fail
Fly Ash,Thermal Power,Cement,166.92,88,Low,No,No,Yes,Yes,66,0,Industrial,Transfer Record,100,Pass
Paper Sludge,Paper,Unauthorized Facility,166.38,70,Low,No,No,No,Yes,98,1,Industrial,Transfer Record,65,Fail
Plastic Scrap,Packaging,Plastic Recycling,97.32,98,Low,No,No,Yes,Yes,12,0,Plastic,Invoice,100,Pass
Steel Slag,Steel,Construction,189.01,74,Medium,No,No,Yes,Yes,202,0,Industrial,Transfer Record,100,Pass
Polyester Scrap,Textile,Plastic Recycling,84.27,85,Low,No,No,Yes,Yes,222,0,Plastic,Invoice,100,Pass
Fly Ash,Thermal Power,Unauthorized Facility,36.63,84,Low,No,No,No,Yes,257,0,Industrial,Transfer Record,75,Pass
Rice Husk,Agriculture,Biofuel,60.93,89,Low,No,No,Yes,Yes,46,1,Organic,Invoice,90,Pass
E-Waste,Electronics,Unauthorized Facility,138.45,96,High,Yes,Yes,No,Yes,10,0,Hazardous,E-Waste Manifest; Transport Permit,60,Fail
Used Oil,Automotive,Authorized Oil Recycler,88.54,71,High,Yes,Yes,Yes,Yes,43,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Plastic Scrap,Packaging,Unauthorized Facility,45.62,80,Low,No,No,No,Yes,78,0,Plastic,Invoice,75,Pass
Polyester Scrap,Textile,Plastic Recycling,80.05,73,Low,No,No,Yes,Yes,233,0,Plastic,Invoice,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,177.75,86,Low,No,No,Yes,Yes,11,0,Plastic,Invoice,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,103.79,97,High,Yes,Yes,Yes,No,108,1,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,55,Fail
Paper Sludge,Paper,Brick Manufacturing,126.03,81,Low,No,No,Yes,Yes,250,1,Industrial,Transfer Record,90,Pass
Food Waste,Food,Biogas,133.12,71,Low,No,No,Yes,Yes,258,0,Organic,Organic Waste Record,100,Pass
Fly Ash,Thermal Power,Unauthorized Facility,48.08,82,Low,No,No,No,Yes,239,1,Industrial,Transfer Record,65,Fail
Used Oil,Automotive,Unauthorized Facility,192.51,95,High,Yes,Yes,No,Yes,257,0,Hazardous,Hazardous Waste Manifest; Transport Permit,60,Fail
Bagasse,Sugar,Paper,171.39,76,Low,No,No,Yes,Yes,158,0,Organic,Invoice,100,Pass
E-Waste,Electronics,Unauthorized Facility,136.8,89,High,Yes,Yes,No,Yes,269,0,Hazardous,E-Waste Manifest; Transport Permit,60,Fail
Fly Ash,Thermal Power,Unauthorized Facility,189.14,97,Low,No,No,No,Yes,123,0,Industrial,Transfer Record,75,Pass
Chemical Sludge,Chemical,Unauthorized Facility,109.81,99,High,Yes,Yes,No,Yes,117,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,60,Fail
Fly Ash,Thermal Power,Unauthorized Facility,54.58,98,Low,No,No,No,Yes,276,0,Industrial,Transfer Record,75,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,74.21,84,High,Yes,Yes,Yes,No,288,0,Hazardous,E-Waste Manifest; Transport Permit,65,Fail
Food Waste,Food,Biogas,30.43,84,Low,No,No,Yes,Yes,235,0,Organic,Organic Waste Record,100,Pass
Paper Sludge,Paper,Brick Manufacturing,189.63,91,Low,No,No,Yes,Yes,74,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,144.24,81,High,Yes,Yes,Yes,Yes,168,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Steel Slag,Steel,Construction,152.55,77,Medium,No,No,Yes,Yes,116,1,Industrial,Transfer Record,90,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,162.02,72,High,Yes,Yes,Yes,Yes,61,3,Hazardous,E-Waste Manifest; Transport Permit,55,Fail
Cotton Scrap,Textile,Paper,125.06,72,Low,No,No,Yes,Yes,271,0,Non-Hazardous,Waste Transfer Record,100,Pass
Food Waste,Food,Biogas,126.84,77,Low,No,No,Yes,Yes,49,0,Organic,Organic Waste Record,100,Pass
Polyester Scrap,Textile,Plastic Recycling,144.54,87,Low,No,No,Yes,Yes,120,0,Plastic,Invoice,100,Pass
Bagasse,Sugar,Unauthorized Facility,187.71,70,Low,No,No,No,Yes,243,1,Organic,Invoice,65,Fail
Chemical Sludge,Chemical,Hazardous Treatment Facility,67.87,86,High,Yes,Yes,Yes,Yes,74,3,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,55,Fail
Polyester Scrap,Textile,Plastic Recycling,54.44,79,Low,No,No,Yes,Yes,128,0,Plastic,Invoice,100,Pass
Food Waste,Food,Biogas,165.87,72,Low,No,No,Yes,Yes,243,0,Organic,Organic Waste Record,100,Pass
E-Waste,Electronics,Unauthorized Facility,47.87,74,High,Yes,Yes,No,Yes,204,0,Hazardous,E-Waste Manifest; Transport Permit,60,Fail
Plastic Scrap,Packaging,Plastic Recycling,7.54,98,Low,No,No,Yes,Yes,259,0,Plastic,Invoice,100,Pass
Cotton Scrap,Textile,Paper,108.04,91,Low,No,No,Yes,Yes,57,0,Non-Hazardous,Waste Transfer Record,100,Pass
Food Waste,Food,Biogas,121.49,76,Low,No,No,Yes,Yes,56,0,Organic,Organic Waste Record,100,Pass
Food Waste,Food,Biogas,59.54,90,Low,No,No,Yes,Yes,75,0,Organic,Organic Waste Record,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,131.57,94,Low,No,No,Yes,Yes,266,0,Plastic,Invoice,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,150.97,71,High,Yes,Yes,Yes,Yes,225,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Food Waste,Food,Biogas,8.67,95,Low,No,No,Yes,Yes,222,0,Organic,Organic Waste Record,100,Pass
Steel Slag,Steel,Construction,194.94,86,Medium,No,No,Yes,Yes,144,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,21.84,91,High,Yes,Yes,Yes,Yes,217,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,52.03,87,High,Yes,Yes,Yes,Yes,99,3,Hazardous,E-Waste Manifest; Transport Permit,55,Fail
Bagasse,Sugar,Paper,187.79,70,Low,No,No,Yes,Yes,50,0,Organic,Invoice,100,Pass
Bagasse,Sugar,Paper,62.36,82,Low,No,No,Yes,Yes,272,0,Organic,Invoice,100,Pass
Cotton Scrap,Textile,Unauthorized Facility,131.59,77,Low,No,No,No,Yes,238,1,Non-Hazardous,Waste Transfer Record,65,Fail
Used Oil,Automotive,Authorized Oil Recycler,181.08,70,High,Yes,Yes,Yes,Yes,79,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Paper Sludge,Paper,Brick Manufacturing,102.17,93,Low,No,No,Yes,Yes,203,0,Industrial,Transfer Record,100,Pass
Paper Sludge,Paper,Brick Manufacturing,157.49,88,Low,No,No,Yes,Yes,123,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,25.51,94,High,Yes,Yes,Yes,Yes,260,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Polyester Scrap,Textile,Plastic Recycling,165.28,86,Low,No,No,Yes,Yes,104,0,Plastic,Invoice,100,Pass
Bagasse,Sugar,Paper,100.45,92,Low,No,No,Yes,Yes,267,0,Organic,Invoice,100,Pass
Used Oil,Automotive,Unauthorized Facility,169.9,70,High,Yes,Yes,No,Yes,67,1,Hazardous,Hazardous Waste Manifest; Transport Permit,50,Fail
Bagasse,Sugar,Paper,82.01,70,Low,No,No,Yes,Yes,244,0,Organic,Invoice,100,Pass
Fly Ash,Thermal Power,Cement,148.34,79,Low,No,No,Yes,Yes,287,0,Industrial,Transfer Record,100,Pass
Fly Ash,Thermal Power,Unauthorized Facility,65.07,79,Low,No,No,No,Yes,159,0,Industrial,Transfer Record,75,Pass
Steel Slag,Steel,Construction,51.56,80,Medium,No,No,Yes,Yes,290,0,Industrial,Transfer Record,100,Pass
Steel Slag,Steel,Construction,146.43,92,Medium,No,No,Yes,Yes,87,0,Industrial,Transfer Record,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,144.96,79,High,Yes,Yes,Yes,Yes,251,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Bagasse,Sugar,Paper,58.01,78,Low,No,No,Yes,Yes,113,1,Organic,Invoice,90,Pass
Food Waste,Food,Biogas,107.4,80,Low,No,No,Yes,Yes,112,0,Organic,Organic Waste Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,172.86,92,High,Yes,Yes,Yes,Yes,190,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Paper Sludge,Paper,Brick Manufacturing,181.67,79,Low,No,No,Yes,Yes,113,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,65.68,77,High,Yes,Yes,Yes,Yes,130,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Used Oil,Automotive,Unauthorized Facility,74.71,78,High,Yes,Yes,No,Yes,119,0,Hazardous,Hazardous Waste Manifest; Transport Permit,60,Fail
Cotton Scrap,Textile,Unauthorized Facility,104.65,99,Low,No,No,No,Yes,292,0,Non-Hazardous,Waste Transfer Record,75,Pass
Steel Slag,Steel,Construction,13.14,86,Medium,No,No,Yes,Yes,21,0,Industrial,Transfer Record,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,186.67,79,High,Yes,Yes,Yes,Yes,14,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
E-Waste,Electronics,Unauthorized Facility,79.17,92,High,Yes,Yes,No,Yes,204,0,Hazardous,E-Waste Manifest; Transport Permit,60,Fail
Bagasse,Sugar,Paper,194.99,88,Low,No,No,Yes,Yes,42,0,Organic,Invoice,100,Pass
Fly Ash,Thermal Power,Cement,161.4,77,Low,No,No,Yes,Yes,224,0,Industrial,Transfer Record,100,Pass
Rice Husk,Agriculture,Biofuel,154.64,90,Low,No,No,Yes,Yes,133,0,Organic,Invoice,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,184.61,96,High,Yes,Yes,Yes,Yes,103,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Cotton Scrap,Textile,Paper,20.17,79,Low,No,No,Yes,Yes,274,0,Non-Hazardous,Waste Transfer Record,100,Pass
Fly Ash,Thermal Power,Cement,82.56,73,Low,No,No,Yes,Yes,268,0,Industrial,Transfer Record,100,Pass
Food Waste,Food,Unauthorized Facility,9.54,78,Low,No,No,No,Yes,181,0,Organic,Organic Waste Record,75,Pass
E-Waste,Electronics,Unauthorized Facility,92.03,98,High,Yes,Yes,No,No,41,1,Hazardous,E-Waste Manifest; Transport Permit,30,Fail
Steel Slag,Steel,Construction,120.35,86,Medium,No,No,Yes,Yes,146,1,Industrial,Transfer Record,90,Pass
Bagasse,Sugar,Paper,138.08,85,Low,No,No,Yes,Yes,131,1,Organic,Invoice,90,Pass
Bagasse,Sugar,Paper,59.32,99,Low,No,No,Yes,Yes,104,0,Organic,Invoice,100,Pass
Fly Ash,Thermal Power,Cement,4.71,80,Low,No,No,Yes,Yes,274,0,Industrial,Transfer Record,100,Pass
Rice Husk,Agriculture,Biofuel,182.64,89,Low,No,No,Yes,Yes,56,0,Organic,Invoice,100,Pass
Rice Husk,Agriculture,Unauthorized Facility,114.87,72,Low,No,No,No,Yes,5,0,Organic,Invoice,75,Pass
